Timestamp,Data
2025-07-14 17:35:48.427,INA219 sensor found!
Time(s),Cap_V(V),,Bus_V(V),,Load_V(V),,Current(mA),,Power(mW),,RPM,Avg_RPM
1,2.53,,0,,0,,-0.5,,0,,0,0
1.5,2.46,,0,,0,,-0.8,,0,,0,0
2,2.4,,0,,0,,-0.4,,0,,0,0
2.5,2.35,,0,,0,,-1,,0,,0,0
3,2.3,,0.17,,0.19,,218.7,,72,,0,0
3.5,2.27,,0.15,,0.17,,137,,16,,0,0
4,2.22,,0.31,,0.34,,250.9,,50,,0,0
4.5,2.2,,0.14,,0.16,,245.3,,62,,0,0
5,2.17,,0.19,,0.21,,193.2,,20,,0,0
5.5,2.15,,0.18,,0.2,,233.9,,82,,47,9
6,2.13,,0.4,,0.44,,379.3,,124,,47,9
6.5,2.12,,0.37,,0.41,,414.5,,158,,47,9
7,2.1,,0.36,,0.39,,408.9,,196,,43,18
7.5,2.08,,0.2,,0.23,,229.1,,68,,43,18
8,2.08,,0.22,,0.24,,306,,96,,43,18
8.5,2.06,,0.26,,0.29,,369.7,,138,,49,28
9,2.06,,0.38,,0.42,,433.2,,240,,49,28
9.5,2.04,,0.3,,0.33,,346.4,,164,,46,37
10,2.03,,0.32,,0.35,,437.6,,194,,46,37
10.5,2.03,,0.32,,0.35,,406.1,,168,,46,49
11,2.03,,0.59,,0.65,,621.2,,302,,46,49
11.5,2.04,,0.44,,0.48,,496,,304,,51,50
12,2.03,,0.6,,0.67,,542.5,,250,,51,50
12.5,2.03,,0.47,,0.51,,573.6,,324,,51,50
13,2.02,,0.59,,0.65,,645,,468,,57,53
13.5,2.02,,0.53,,0.58,,589,,416,,62,56
14,2.02,,0.43,,0.47,,479.7,,226,,62,56
14.5,2.01,,0.41,,0.46,,474.1,,222,,72,61
15,2.01,,0.46,,0.52,,466.4,,206,,72,61
15.5,2.01,,0.54,,0.6,,502.6,,176,,72,61
16,2,,0.54,,0.6,,661.8,,430,,72,61
16.5,1.96,,0.46,,0.51,,566,,324,,72,0
17,1.97,,0.46,,0.51,,494.7,,252,,72,0
17.5,1.97,,0.77,,0.85,,757.8,,350,,72,0
18,1.95,,0.75,,0.83,,686.2,,406,,72,3
18.5,1.94,,0.56,,0.63,,600.7,,348,,72,3
19,2.01,,0.56,,0.62,,598.8,,396,,72,18
19.5,1.98,,0.59,,0.65,,629.3,,406,,72,18
20,1.96,,0.58,,0.64,,640.2,,416,,73,32
20.5,1.99,,0.63,,0.7,,676.5,,458,,75,47
21,1.94,,0.65,,0.71,,674.9,,466,,75,158
21.5,1.97,,0.82,,0.91,,871.5,,584,,75,158
22,1.99,,0.61,,0.68,,648.6,,416,,75,163
22.5,2,,0.68,,0.75,,713.6,,512,,75,163
23,2,,0.86,,0.94,,716.9,,472,,75,163
23.5,2,,0.76,,0.83,,814.6,,616,,75,156
24,2,,0.81,,0.9,,792.6,,416,,75,156
24.5,2,,0.72,,0.8,,653.2,,416,,78,157
25,2,,0.71,,0.78,,829.4,,678,,77,158
25.5,2.01,,0.6,,0.67,,642.7,,442,,77,158
26,2,,0.69,,0.77,,663.8,,404,,78,63
26.5,2,,0.66,,0.73,,719,,504,,78,63
27,2.02,,0.61,,0.67,,698.7,,502,,78,70
27.5,2.02,,0.67,,0.74,,714.5,,622,,78,78
28,2.01,,0.74,,0.81,,765.4,,648,,78,78
28.5,2.01,,0.7,,0.77,,724.4,,602,,81,78
29,2.03,,0.71,,0.78,,813.5,,676,,83,80
29.5,2.02,,0.74,,0.82,,818.6,,672,,83,80
30,2.01,,0.73,,0.8,,761,,612,,83,80
30.5,2.03,,0.8,,0.88,,861.5,,812,,83,82
31,2.03,,0.71,,0.78,,782.8,,600,,84,83
31.5,2.02,,0.9,,0.99,,753,,550,,84,224
32,2.02,,0.89,,0.98,,919.5,,584,,84,224
32.5,2.03,,0.86,,0.95,,914.9,,744,,84,217
33,2.03,,0.79,,0.87,,822,,724,,84,217
33.5,2.03,,0.89,,0.98,,782.9,,570,,84,218
34,2.05,,0.76,,0.83,,848.9,,714,,84,218
34.5,2.04,,0.81,,0.89,,855.6,,766,,84,210
35,2.04,,0.85,,0.93,,881.9,,820,,90,210
