Time (s),Angle (deg)
0.087,-20.06
0.187,-10.94
0.286,4.57
0.386,17.16
0.486,19.28
0.585,11.02
0.685,-2.78
0.784,-13.9
0.884,-15.72
0.984,-7.7
1.083,4.92
1.183,14.92
1.283,16.44
1.382,9.14
1.481,-2.16
1.582,-10.8
1.681,-11.96
1.78,-5.21
1.881,4.94
1.98,12.47
2.079,12.93
2.179,6.77
2.279,-2.13
2.378,-8.53
2.478,-8.68
2.578,-2.97
2.677,4.89
2.777,10.43
2.876,10.38
2.976,5.26
3.076,-1.48
3.175,-5.81
3.275,-5.36
3.375,-0.84
3.474,4.82
3.573,8.33
3.674,7.61
3.773,3.6
3.872,-1.1
3.972,-3.75
4.072,-2.83
4.171,0.62
4.271,4.36
4.371,6.28
4.47,5.31
4.57,2.44
4.669,-0.44
4.769,-1.58
4.869,-0.48
4.968,1.79
5.068,3.81
5.168,4.36
5.267,3.31
5.366,1.66
5.467,0.47
5.566,0.44
5.665,1.36
5.766,2.27
5.865,2.52
5.964,2.11
6.064,1.65
6.164,1.62
6.263,1.93
