Time (s),Angle (deg)
0.082,-62.59
0.182,-62.88
0.282,-63.04
0.381,-62.69
0.481,-62.74
0.581,-63.08
0.68,-63.25
0.78,-63.2
0.879,-63.51
0.979,-63.72
1.079,-63.79
1.178,-63.87
1.278,-63.96
1.378,-63.57
1.477,-49.27
1.577,-14.44
1.677,24.37
1.776,46.19
1.875,41.69
1.976,16.35
2.075,-15.19
2.174,-35.05
2.275,-33.14
2.374,-14.2
2.473,9.56
2.574,25.35
2.673,25.15
2.772,12.04
2.872,-4.81
2.972,-16.22
3.072,-16.16
3.171,-6.87
3.271,3.96
3.371,10.0
3.47,8.63
3.57,3.67
3.67,-0.81
3.769,-1.7
3.868,0.41
3.969,2.14
4.068,2.24
4.167,1.91
4.268,2.22
4.367,2.07
4.466,2.17
4.567,2.18
