Time (s),Angle (deg)
0.079,-75.63
0.179,-75.02
0.278,-74.75
0.378,-75.45
0.478,-75.68
0.577,-76.57
0.677,-77.6
0.777,-78.12
0.876,-78.33
0.975,-78.41
1.076,-78.66
1.175,-73.12
1.274,-45.57
1.375,-5.67
1.474,28.83
1.573,39.17
1.674,25.3
1.773,1.86
1.872,-17.79
1.972,-23.35
2.072,-13.48
2.171,-2.31
2.271,2.17
2.371,0.34
2.47,-0.52
2.57,0.19
2.669,0.43
2.769,0.1
2.869,0.32
2.968,0.18
3.068,0.3
3.168,0.27
3.267,0.34
3.366,0.36
3.467,0.32
3.566,0.36
3.665,0.34
3.766,0.4
3.865,0.37
