Time (s),Angle (deg)
0.038,-20.73
0.138,-3.44
0.237,15.66
0.336,25.31
0.437,20.31
0.536,4.64
0.635,-12.86
0.736,-21.98
0.835,-17.33
0.934,-2.5
1.034,13.6
1.134,21.88
1.233,17.69
1.333,4.25
1.433,-10.24
1.532,-17.25
1.632,-13.16
1.731,-0.77
1.831,12.42
1.931,18.69
2.03,14.54
2.13,3.16
2.23,-8.61
2.329,-14.04
2.428,-10.0
2.529,0.32
2.628,10.66
2.727,15.27
2.828,11.59
2.927,2.39
3.026,-6.63
3.126,-10.12
3.226,-6.37
3.325,1.78
3.425,9.55
3.525,12.33
3.624,8.74
3.724,1.53
3.823,-5.03
3.923,-7.15
4.023,-3.83
4.122,2.32
4.222,7.61
4.322,9.03
4.421,6.1
4.52,1.04
4.621,-3.07
4.72,-3.8
4.819,-1.14
4.919,2.87
5.019,5.92
5.118,6.17
5.218,3.89
5.318,0.9
5.417,-1.07
5.517,-0.92
5.616,0.86
5.716,2.85
5.816,3.81
5.915,3.29
6.016,2.07
6.115,1.1
6.214,0.96
6.313,1.58
6.414,2.15
6.513,2.12
6.612,1.73
6.713,1.59
6.812,1.82
6.912,2.07
7.011,2.01
7.111,1.82
7.211,1.77
