Time (s),Angle (deg)
0.103,-44.34
0.203,-44.59
0.303,-44.66
0.402,-44.78
0.502,-45.02
0.602,-44.99
0.701,-45.06
0.801,-45.12
0.901,-45.04
1.0,-45.16
1.1,-45.37
1.2,-45.47
1.299,-45.53
1.398,-45.62
1.499,-45.44
1.598,-38.6
1.697,-15.8
1.798,10.93
1.897,26.99
1.996,25.19
2.097,10.49
2.196,-7.2
2.295,-17.77
2.395,-15.67
2.495,-5.6
2.594,3.91
2.694,7.73
2.794,5.13
2.893,1.41
2.993,0.1
3.093,1.57
3.192,2.71
3.292,2.27
3.392,2.16
3.491,2.41
3.591,2.27
3.69,2.38
3.79,2.44
3.89,2.3
3.989,2.44
4.089,2.44
4.189,2.43
4.288,2.52
4.388,2.48
4.488,2.54
