Time (s),Angle (deg)
0.097,-47.24
0.196,-47.27
0.296,-47.33
0.396,-47.57
0.495,-47.69
0.595,-47.64
0.695,-47.75
0.794,-47.8
0.893,-47.76
0.994,-47.92
1.093,-48.14
1.192,-48.16
1.293,-48.13
1.392,-48.26
1.491,-47.84
1.591,-42.9
1.691,-14.46
1.79,16.98
1.89,32.92
1.99,25.96
2.089,7.5
2.189,-10.5
2.288,-18.07
2.388,-12.32
2.488,-1.4
2.587,2.2
2.688,-0.46
2.787,-0.62
2.886,0.69
2.985,0.54
3.086,0.11
3.185,0.35
3.284,0.12
3.385,0.27
3.484,0.16
3.584,0.23
3.683,0.2
3.783,0.19
3.883,0.22
3.982,0.18
4.081,0.21
4.182,0.21
4.281,0.21
