Timestamp_ms,Voltage_V,Current_mA,Power_mW,AccX_g,AccY_g,AccZ_g,Roll_deg,Pitch_deg,Yaw_deg

Setup complete. Logging is active.
Commands: start, stop, dump, erase
325,0.00,-0.80,0.00,0.106,0.000,1.012,-3.10,-2.47,35.12
344,0.00,-0.80,0.00,-0.036,-0.056,0.984,-3.10,-2.47,35.12
364,0.00,-0.80,0.00,-0.036,-0.056,0.984,-3.09,-1.69,35.35
384,0.00,-0.90,0.00,-0.036,-0.056,0.984,-3.09,-1.69,35.35
404,0.00,-0.90,0.00,-0.036,-0.056,0.984,-3.09,-1.69,35.35
424,0.00,-0.90,0.00,-0.036,-0.056,0.984,-3.09,-1.69,35.35
444,0.00,-0.70,0.00,-0.008,-0.101,1.006,-3.09,-1.69,35.35
464,0.00,-0.80,0.00,-0.008,-0.101,1.006,-3.05,-2.85,35.50
484,0.00,-0.70,0.00,-0.008,-0.101,1.006,-3.05,-2.85,35.50
504,0.00,-0.90,0.00,-0.008,-0.101,1.006,-3.05,-2.85,35.50
524,0.00,-0.80,0.00,-0.008,-0.101,1.006,-3.05,-2.85,35.50
544,0.00,-0.70,0.00,-0.129,-0.148,1.066,-3.05,-2.85,35.50
564,0.00,-0.80,0.00,-0.129,-0.148,1.066,-2.84,-6.94,36.00
584,0.00,-0.70,0.00,-0.129,-0.148,1.066,-2.84,-6.94,36.00
604,0.00,-0.90,0.00,-0.129,-0.148,1.066,-2.84,-6.94,36.00
624,0.00,-0.70,0.00,-0.129,-0.148,1.066,-2.84,-6.94,36.00
644,0.00,-0.80,0.00,0.291,-0.054,0.950,-2.84,-6.94,36.00
664,0.00,-0.80,0.00,0.291,-0.054,0.950,-2.66,-13.11,36.05
684,0.00,-0.70,0.00,0.291,-0.054,0.950,-2.66,-13.11,36.05
704,0.00,-0.60,0.00,0.291,-0.054,0.950,-2.66,-13.11,36.05
724,0.00,-0.90,0.00,0.291,-0.054,0.950,-2.66,-13.11,36.05
744,0.00,-0.80,0.00,0.369,-0.065,1.072,-2.66,-13.11,36.05
764,0.00,-0.80,0.00,0.369,-0.065,1.072,-2.87,-5.98,33.52
784,0.00,-0.80,0.00,0.369,-0.065,1.072,-2.87,-5.98,33.52
804,0.00,-0.80,0.00,0.369,-0.065,1.072,-2.87,-5.98,33.52
824,0.00,-0.90,0.00,0.369,-0.065,1.072,-2.87,-5.98,33.52
844,0.00,-0.90,0.00,0.042,0.015,1.048,-2.87,-5.98,33.52
864,0.00,-0.50,0.00,0.042,0.015,1.048,-4.58,18.07,30.25
884,0.00,-0.70,0.00,0.042,0.015,1.048,-4.58,18.07,30.25
904,0.00,-0.30,0.00,0.042,0.015,1.048,-4.58,18.07,30.25
924,1.36,148.00,222.00,0.042,0.015,1.048,-4.58,18.07,30.25
944,1.96,207.40,466.00,-0.386,-0.173,0.637,-4.58,18.07,30.25
964,2.52,258.40,666.00,-0.386,-0.173,0.637,-6.50,30.96,26.50
984,2.74,283.80,806.00,-0.386,-0.173,0.637,-6.50,30.96,26.50
1004,3.04,308.00,980.00,-0.386,-0.173,0.637,-6.50,30.96,26.50
1024,3.24,325.60,1048.00,-0.386,-0.173,0.637,-6.50,30.96,26.50
1274,0.00,0.80,0.00,-0.118,-0.122,0.973,-4.37,-10.31,32.87
1293,0.00,0.10,0.00,-0.118,-0.122,0.973,-4.37,-10.31,32.87
1313,0.00,-0.30,0.00,-0.118,-0.122,0.973,-4.37,-10.31,32.87
1333,0.00,-0.30,0.00,0.478,-0.009,0.729,-4.37,-10.31,32.87
1353,0.00,-0.30,0.00,0.478,-0.009,0.729,-4.33,-17.76,34.61
1373,0.00,-0.50,0.00,0.478,-0.009,0.729,-4.33,-17.76,34.61
1393,0.00,-0.30,0.00,0.478,-0.009,0.729,-4.33,-17.76,34.61
1413,0.00,-0.70,0.00,0.478,-0.009,0.729,-4.33,-17.76,34.61
1433,0.00,-0.80,0.00,0.459,-0.018,1.444,-4.33,-17.76,34.61
1453,0.00,-0.50,0.00,0.459,-0.018,1.444,-4.81,-1.11,31.92
1473,0.00,-0.50,0.00,0.459,-0.018,1.444,-4.81,-1.11,31.92
1493,0.00,-0.60,0.00,0.459,-0.018,1.444,-4.81,-1.11,31.92
1513,0.00,-0.50,0.00,0.459,-0.018,1.444,-4.81,-1.11,31.92
1533,0.00,-0.70,0.00,-0.123,0.076,0.914,-4.81,-1.11,31.92
1553,0.00,-0.80,0.00,-0.123,0.076,0.914,-9.02,36.33,25.55
1573,0.00,-0.60,0.00,-0.123,0.076,0.914,-9.02,36.33,25.55
1593,0.00,0.60,0.00,-0.123,0.076,0.914,-9.02,36.33,25.55
1613,1.42,172.30,302.00,-0.123,0.076,0.914,-9.02,36.33,25.55
1633,3.32,346.00,1222.00,-0.574,-0.160,0.367,-9.02,36.33,25.55
1653,3.76,385.70,1422.00,-0.574,-0.160,0.367,-12.50,46.01,19.47
1673,3.75,391.20,1498.00,-0.574,-0.160,0.367,-12.50,46.01,19.47
1693,4.13,418.70,1782.00,-0.574,-0.160,0.367,-12.50,46.01,19.47
1713,4.37,442.90,1946.00,-0.574,-0.160,0.367,-12.50,46.01,19.47
1733,4.66,473.90,2216.00,-0.838,-0.103,0.575,-12.50,46.01,19.47
1753,4.61,471.60,2176.00,-0.838,-0.103,0.575,-10.71,34.72,21.29
1773,4.49,452.50,2018.00,-0.838,-0.103,0.575,-10.71,34.72,21.29
1793,4.01,413.00,1672.00,-0.838,-0.103,0.575,-10.71,34.72,21.29
1813,3.62,369.60,1272.00,-0.838,-0.103,0.575,-10.71,34.72,21.29
1833,2.84,290.70,822.00,-0.743,-0.129,1.160,-10.71,34.72,21.29
1853,2.02,201.50,386.00,-0.743,-0.129,1.160,-7.58,8.41,26.99
1873,1.42,145.30,184.00,-0.743,-0.129,1.160,-7.58,8.41,26.99
1893,0.57,56.70,30.00,-0.743,-0.129,1.160,-7.58,8.41,26.99
