Timestamp_ms,Voltage_V,Current_mA,Power_mW,AccX_g,AccY_g,AccZ_g,Roll_deg,Pitch_deg,Yaw_deg

Setup complete. Logging is active.
Commands: start, stop, dump, erase
1695,0.00,2.80,0.00,0.088,-0.156,0.871,-9.01,-14.88,-23.33
1714,0.00,1.50,0.00,0.088,-0.156,0.871,-9.01,-14.88,-23.33
1734,0.00,1.10,0.00,0.088,-0.156,0.871,-9.01,-14.88,-23.33
1754,0.00,0.60,0.00,0.088,-0.156,0.871,-9.01,-14.88,-23.33
1774,0.00,0.20,0.00,0.169,-0.170,1.059,-9.01,-14.88,-23.33
1794,0.00,0.00,0.00,0.169,-0.170,1.059,-9.05,-6.83,-26.58
1814,0.00,-0.40,0.00,0.169,-0.170,1.059,-9.05,-6.83,-26.58
1834,0.00,-0.60,0.00,0.169,-0.170,1.059,-9.05,-6.83,-26.58
1854,0.00,-0.60,0.00,0.169,-0.170,1.059,-9.05,-6.83,-26.58
1874,0.00,-0.50,0.00,0.209,-0.148,1.393,-9.05,-6.83,-26.58
1894,0.00,-0.30,0.00,0.209,-0.148,1.393,-10.33,13.67,-31.03
1914,0.00,-0.60,0.00,0.209,-0.148,1.393,-10.33,13.67,-31.03
1934,0.00,-0.70,0.00,0.209,-0.148,1.393,-10.33,13.67,-31.03
1954,0.00,-0.60,0.00,0.209,-0.148,1.393,-10.33,13.67,-31.03
1974,0.00,-0.70,0.00,-0.240,-0.058,0.617,-10.33,13.67,-31.03
1994,0.16,21.90,4.00,-0.240,-0.058,0.617,-13.72,33.98,-37.35
2014,1.21,129.50,190.00,-0.240,-0.058,0.617,-13.72,33.98,-37.35
2034,2.26,237.80,548.00,-0.240,-0.058,0.617,-13.72,33.98,-37.35
2054,2.82,292.80,838.00,-0.240,-0.058,0.617,-13.72,33.98,-37.35
2074,3.01,313.40,954.00,-0.517,-0.052,0.824,-13.72,33.98,-37.35
2094,3.23,335.70,1092.00,-0.517,-0.052,0.824,-14.18,31.17,-37.64
2114,3.34,343.20,1176.00,-0.517,-0.052,0.824,-14.18,31.17,-37.64
2134,3.52,361.30,1264.00,-0.517,-0.052,0.824,-14.18,31.17,-37.64
2154,3.56,369.40,1324.00,-0.517,-0.052,0.824,-14.18,31.17,-37.64
2174,3.79,391.00,1478.00,-0.552,-0.132,0.854,-14.18,31.17,-37.64
2194,3.68,373.10,1350.00,-0.552,-0.132,0.854,-12.15,18.70,-36.73
2214,3.30,340.50,1128.00,-0.552,-0.132,0.854,-12.15,18.70,-36.73
2234,2.96,303.60,892.00,-0.552,-0.132,0.854,-12.15,18.70,-36.73
2254,2.59,268.60,698.00,-0.552,-0.132,0.854,-12.15,18.70,-36.73
2274,2.16,221.80,466.00,-0.277,-0.220,1.140,-12.15,18.70,-36.73
2294,1.77,181.50,302.00,-0.277,-0.220,1.140,-10.43,-3.11,-32.74
2314,1.30,132.90,170.00,-0.277,-0.220,1.140,-10.43,-3.11,-32.74
2334,0.86,89.10,72.00,-0.277,-0.220,1.140,-10.43,-3.11,-32.74
2354,0.55,57.00,30.00,-0.277,-0.220,1.140,-10.43,-3.11,-32.74
3888,0.08,10.60,0.00,-0.061,-0.127,1.009,-11.04,-8.27,-39.05
3907,0.05,7.10,0.00,-0.061,-0.127,1.009,-11.04,-8.27,-39.05
3927,0.02,4.70,0.00,-0.061,-0.127,1.009,-11.04,-8.27,-39.05
3947,0.00,3.00,0.00,-0.061,-0.127,1.009,-11.04,-8.27,-39.05
3967,0.00,1.90,0.00,0.136,-0.167,0.927,-11.04,-8.27,-39.05
3987,0.00,1.00,0.00,0.136,-0.167,0.927,-11.04,-9.43,-37.58
4007,0.00,0.50,0.00,0.136,-0.167,0.927,-11.04,-9.43,-37.58
4027,0.00,0.40,0.00,0.136,-0.167,0.927,-11.04,-9.43,-37.58
4047,0.00,0.10,0.00,0.136,-0.167,0.927,-11.04,-9.43,-37.58
4067,0.00,0.00,0.00,0.041,-0.004,1.074,-11.04,-9.43,-37.58
4087,0.00,-0.20,0.00,0.041,-0.004,1.074,-11.06,-1.24,-39.05
4107,0.00,-0.30,0.00,0.041,-0.004,1.074,-11.06,-1.24,-39.05
4127,0.00,-0.60,0.00,0.041,-0.004,1.074,-11.06,-1.24,-39.05
4147,0.00,-0.30,0.00,0.041,-0.004,1.074,-11.06,-1.24,-39.05
4167,0.00,-0.20,0.00,-0.061,-0.217,0.992,-11.06,-1.24,-39.05
4187,0.00,-0.50,0.00,-0.061,-0.217,0.992,-11.34,8.22,-41.53
4207,0.00,-0.30,0.00,-0.061,-0.217,0.992,-11.34,8.22,-41.53
4227,0.00,-0.60,0.00,-0.061,-0.217,0.992,-11.34,8.22,-41.53
4247,0.00,-0.60,0.00,-0.061,-0.217,0.992,-11.34,8.22,-41.53
4267,0.00,-0.70,0.00,-0.056,-0.092,1.011,-11.34,8.22,-41.53
4287,0.00,-0.80,0.00,-0.056,-0.092,1.011,-11.48,10.80,-40.31
4307,0.00,-0.60,0.00,-0.056,-0.092,1.011,-11.48,10.80,-40.31
4327,0.00,-0.70,0.00,-0.056,-0.092,1.011,-11.48,10.80,-40.31
4347,0.16,23.30,6.00,-0.056,-0.092,1.011,-11.48,10.80,-40.31
4367,0.37,41.20,16.00,-0.072,-0.150,0.990,-11.48,10.80,-40.31
4387,0.31,34.30,14.00,-0.072,-0.150,0.990,-11.13,6.94,-35.68
4407,0.22,24.60,6.00,-0.072,-0.150,0.990,-11.13,6.94,-35.68
4427,0.13,15.50,4.00,-0.072,-0.150,0.990,-11.13,6.94,-35.68
4447,0.07,9.90,0.00,-0.072,-0.150,0.990,-11.13,6.94,-35.68
4467,0.04,6.00,0.00,-0.020,0.113,0.936,-11.13,6.94,-35.68
4487,0.01,4.00,0.00,-0.020,0.113,0.936,-11.00,5.99,-33.28
4507,0.00,2.30,0.00,-0.020,0.113,0.936,-11.00,5.99,-33.28
