Timestamp_ms,Voltage_V,Current_mA,Power_mW,AccX_g,AccY_g,AccZ_g,Roll_deg,Pitch_deg,Yaw_deg
Initializing INA219 sensor...
INA219 sensor found.
Initializing HWT901B IMU...
Mounting file system...

Setup complete. Logging is active.
Commands: start, stop, dump, erase
291,0.00,-0.70,0.00,0.037,-0.070,0.991,-3.58,-2.18,29.03
310,0.00,-0.80,0.00,0.037,-0.070,0.991,-3.58,-2.18,29.03
330,0.00,-0.70,0.00,0.022,-0.069,0.979,-3.58,-2.18,29.03
350,0.00,-0.70,0.00,0.022,-0.069,0.979,-3.61,-0.53,28.67
370,0.00,-0.70,0.00,0.022,-0.069,0.979,-3.61,-0.53,28.67
390,0.00,-0.50,0.00,0.022,-0.069,0.979,-3.61,-0.53,28.67
410,0.00,-0.80,0.00,0.022,-0.069,0.979,-3.61,-0.53,28.67
430,0.00,-0.70,0.00,-0.022,0.012,0.976,-3.61,-0.53,28.67
450,0.00,-0.70,0.00,-0.022,0.012,0.976,-3.68,-0.19,28.44
470,0.00,-2.60,0.00,-0.022,0.012,0.976,-3.68,-0.19,28.44
490,0.00,-6.20,0.00,-0.022,0.012,0.976,-3.68,-0.19,28.44
510,0.00,-4.60,0.00,-0.022,0.012,0.976,-3.68,-0.19,28.44
530,0.00,2.50,0.00,0.113,-0.015,1.010,-3.68,-0.19,28.44
550,0.00,2.10,0.00,0.113,-0.015,1.010,-3.55,-1.47,26.58
570,0.00,1.30,0.00,0.113,-0.015,1.010,-3.55,-1.47,26.58
590,0.00,0.80,0.00,0.113,-0.015,1.010,-3.55,-1.47,26.58
610,0.00,0.50,0.00,0.113,-0.015,1.010,-3.55,-1.47,26.58
630,0.00,0.10,0.00,-0.065,-0.049,1.048,-3.55,-1.47,26.58
650,0.00,0.00,0.00,-0.065,-0.049,1.048,-4.27,9.90,25.82
670,0.00,-0.50,0.00,-0.065,-0.049,1.048,-4.27,9.90,25.82
690,0.00,-0.40,0.00,-0.065,-0.049,1.048,-4.27,9.90,25.82
710,0.00,-0.50,0.00,-0.236,-0.028,0.835,-4.27,9.90,25.82
730,0.00,-0.50,0.00,-0.236,-0.028,0.835,-4.27,9.90,25.82
750,0.00,-0.50,0.00,-0.236,-0.028,0.835,-4.97,18.39,24.18
770,0.44,92.80,46.00,-0.236,-0.028,0.835,-4.97,18.39,24.18
790,1.25,253.10,340.00,-0.236,-0.028,0.835,-4.97,18.39,24.18
810,1.82,345.80,646.00,-0.264,-0.163,1.320,-4.97,18.39,24.18
830,1.78,337.50,594.00,-0.264,-0.163,1.320,-4.97,18.39,24.18
850,1.46,280.30,412.00,-0.264,-0.163,1.320,-4.14,5.67,24.92
870,1.26,239.10,282.00,-0.264,-0.163,1.320,-4.14,5.67,24.92
890,1.06,199.20,204.00,-0.264,-0.163,1.320,-4.14,5.67,24.92
910,0.87,168.00,138.00,-0.297,-0.104,1.072,-4.14,5.67,24.92
930,0.62,117.10,68.00,-0.297,-0.104,1.072,-4.14,5.67,24.92
