Timestamp,Data
2025-07-22 16:26:41.866,INA219 sensor found!
2025-07-22 16:26:41.870,Time(s)	Voltage(V)	Current(mA)	Power(mW)
2025-07-22 16:26:41.872,1.00	0.00		-0.7		0.0
2025-07-22 16:26:41.919,1.05	0.01		83.7		0.7
2025-07-22 16:26:41.968,1.10	0.21		409.3		85.1
2025-07-22 16:26:42.018,1.15	0.38		622.2		238.9
2025-07-22 16:26:42.067,1.20	0.41		697.1		287.2
2025-07-22 16:26:42.119,1.25	0.38		670.1		252.0
2025-07-22 16:26:42.169,1.30	0.23		407.6		94.6
2025-07-22 16:26:42.219,1.35	0.06		119.7		7.2
2025-07-22 16:26:42.268,1.40	0.00		5.3		0.0
2025-07-22 16:26:42.317,1.45	0.00		-0.5		0.0
2025-07-22 16:26:42.369,1.50	0.00		-0.7		0.0
2025-07-22 16:26:42.419,1.55	0.01		85.2		1.0
2025-07-22 16:26:42.468,1.60	0.10		228.2		23.7
2025-07-22 16:26:42.519,1.65	0.29		496.4		144.9
2025-07-22 16:26:42.570,1.70	0.30		597.2		179.2
2025-07-22 16:26:42.619,1.75	0.38		614.1		235.8
2025-07-22 16:26:42.668,1.80	0.24		431.5		101.8
2025-07-22 16:26:42.718,1.85	0.10		248.0		25.8
2025-07-22 16:26:42.768,1.90	0.00		16.7		0.0
2025-07-22 16:26:42.820,1.95	0.00		-0.3		0.0
2025-07-22 16:26:42.869,2.00	0.00		-0.6		0.0
2025-07-22 16:26:42.919,2.05	0.03		122.0		3.4
2025-07-22 16:26:42.968,2.10	0.23		406.9		92.8
2025-07-22 16:26:43.018,2.15	0.41		712.3		290.6
2025-07-22 16:26:43.070,2.20	0.39		747.0		289.8
2025-07-22 16:26:43.119,2.25	0.42		738.8		310.3
2025-07-22 16:26:43.169,2.30	0.23		417.3		96.8
2025-07-22 16:26:43.218,2.35	0.05		137.3		7.1
2025-07-22 16:26:43.268,2.40	0.00		0.7		0.0
2025-07-22 16:26:43.320,2.45	0.00		-0.5		0.0
2025-07-22 16:26:43.369,2.50	0.00		0.8		0.0
2025-07-22 16:26:43.419,2.55	0.04		135.4		6.0
2025-07-22 16:26:43.468,2.60	0.18		332.3		59.8
2025-07-22 16:26:43.520,2.65	0.36		598.3		217.8
2025-07-22 16:26:43.570,2.70	0.35		653.8		230.1
2025-07-22 16:26:43.619,2.75	0.31		560.4		172.6
2025-07-22 16:26:43.669,2.80	0.22		451.8		99.4
2025-07-22 16:26:43.721,2.85	0.08		193.1		14.7
2025-07-22 16:26:43.770,2.90	0.00		54.9		0.0
2025-07-22 16:26:43.821,2.95	0.00		-0.2		0.0
2025-07-22 16:26:43.869,3.00	0.00		-0.4		0.0
2025-07-22 16:26:43.918,3.05	0.00		33.0		0.0
2025-07-22 16:26:43.971,3.10	0.14		332.9		47.9
2025-07-22 16:26:44.020,3.15	0.26		468.6		120.0
2025-07-22 16:26:44.070,3.20	0.44		734.2		323.0
2025-07-22 16:26:44.119,3.25	0.34		594.0		202.0
2025-07-22 16:26:44.171,3.30	0.33		483.4		160.5
2025-07-22 16:26:44.221,3.35	0.18		322.6		56.8
2025-07-22 16:26:44.271,3.40	0.01		67.9		0.5
2025-07-22 16:26:44.320,3.45	0.00		-0.6		0.0
2025-07-22 16:26:44.369,3.50	0.00		-0.6		0.0
2025-07-22 16:26:44.419,3.55	0.00		10.3		0.0
2025-07-22 16:26:44.471,3.60	0.05		128.1		6.1
2025-07-22 16:26:44.521,3.65	0.22		365.5		78.9
2025-07-22 16:26:44.569,3.70	0.30		510.4		155.2
2025-07-22 16:26:44.622,3.75	0.36		624.4		224.8
2025-07-22 16:26:44.671,3.80	0.32		450.8		142.5
2025-07-22 16:26:44.720,3.85	0.18		352.2		64.8
2025-07-22 16:26:44.770,3.90	0.04		89.4		3.2
2025-07-22 16:26:44.819,3.95	0.00		1.1		0.0
2025-07-22 16:26:44.872,4.00	0.00		-0.7		0.0
2025-07-22 16:26:44.921,4.05	0.00		9.2		0.0
2025-07-22 16:26:44.972,4.10	0.08		204.4		15.5
2025-07-22 16:26:45.021,4.15	0.25		442.7		111.6
2025-07-22 16:26:45.073,4.20	0.34		588.3		197.7
2025-07-22 16:26:45.122,4.25	0.32		637.9		204.1
2025-07-22 16:26:45.171,4.30	0.33		532.2		174.6
2025-07-22 16:26:45.221,4.35	0.16		314.4		51.6
2025-07-22 16:26:45.270,4.40	0.02		118.1		2.4
2025-07-22 16:26:45.322,4.45	0.00		-0.1		0.0
2025-07-22 16:26:45.372,4.50	0.00		-0.6		0.0
2025-07-22 16:26:45.422,4.55	0.00		39.5		0.0
2025-07-22 16:26:45.471,4.60	0.02		120.5		1.9
2025-07-22 16:26:45.520,4.65	0.19		337.9		63.5
2025-07-22 16:26:45.572,4.70	0.23		476.3		110.5
2025-07-22 16:26:45.622,4.75	0.36		627.8		228.5
2025-07-22 16:26:45.671,4.80	0.28		487.8		136.6
2025-07-22 16:26:45.721,4.85	0.15		314.6		46.6
2025-07-22 16:26:45.773,4.90	0.00		95.2		0.4
2025-07-22 16:26:45.822,4.95	0.00		1.5		0.0
2025-07-22 16:26:45.872,5.00	0.00		-0.4		0.0
2025-07-22 16:26:45.921,5.05	0.00		-0.7		0.0
2025-07-22 16:26:45.971,5.10	0.02		93.1		2.2
2025-07-22 16:26:46.023,5.15	0.24		462.9		111.1
2025-07-22 16:26:46.072,5.20	0.27		529.7		144.1
2025-07-22 16:26:46.121,5.25	0.43		749.9		321.0
2025-07-22 16:26:46.171,5.30	0.35		585.4		206.1
2025-07-22 16:26:46.220,5.35	0.22		382.7		85.7
2025-07-22 16:26:46.273,5.40	0.05		123.5		5.9
2025-07-22 16:26:46.322,5.45	0.00		3.0		0.0
2025-07-22 16:26:46.371,5.50	0.00		-0.7		0.0
2025-07-22 16:26:46.421,5.55	0.00		1.5		0.0
2025-07-22 16:26:46.470,5.60	0.00		49.6		0.0
2025-07-22 16:26:46.523,5.65	0.17		388.7		65.3
2025-07-22 16:26:46.572,5.70	0.26		433.9		114.5
2025-07-22 16:26:46.622,5.75	0.41		687.4		280.5
2025-07-22 16:26:46.670,5.80	0.30		572.9		169.6
2025-07-22 16:26:46.720,5.85	0.21		438.5		93.0
2025-07-22 16:26:46.772,5.90	0.08		184.2		14.0
2025-07-22 16:26:46.822,5.95	0.00		52.5		0.0
2025-07-22 16:26:46.871,6.00	0.00		-0.3		0.0
2025-07-22 16:26:46.921,6.05	0.00		-0.8		0.0
2025-07-22 16:26:46.970,6.10	0.00		74.3		0.3
2025-07-22 16:26:47.022,6.15	0.21		388.4		80.8
2025-07-22 16:26:47.072,6.20	0.40		659.3		261.1
2025-07-22 16:26:47.122,6.25	0.43		692.5		296.4
2025-07-22 16:26:47.171,6.30	0.36		678.6		244.3
2025-07-22 16:26:47.223,6.35	0.26		508.7		132.3
2025-07-22 16:26:47.272,6.40	0.08		185.2		14.1
2025-07-22 16:26:47.322,6.45	0.00		23.4		0.0
2025-07-22 16:26:47.372,6.50	0.00		-0.2		0.0
2025-07-22 16:26:47.420,6.55	0.00		-0.5		0.0
2025-07-22 16:26:47.473,6.60	0.00		68.0		0.3
2025-07-22 16:26:47.522,6.65	0.14		232.9		33.5
2025-07-22 16:26:47.571,6.70	0.26		431.5		110.5
2025-07-22 16:26:47.621,6.75	0.39		695.5		269.9
2025-07-22 16:26:47.671,6.80	0.32		603.9		193.2
2025-07-22 16:26:47.723,6.85	0.27		481.4		129.0
2025-07-22 16:26:47.773,6.90	0.14		267.2		36.3
2025-07-22 16:26:47.822,6.96	0.00		26.3		0.0
2025-07-22 16:26:47.871,7.01	0.00		-0.1		0.0
2025-07-22 16:26:47.923,7.05	0.00		-0.8		0.0
2025-07-22 16:26:47.973,7.11	0.00		32.0		0.0
2025-07-22 16:26:48.023,7.16	0.13		249.1		31.9
2025-07-22 16:26:48.075,7.21	0.34		583.0		195.9
2025-07-22 16:26:48.124,7.26	0.45		722.4		323.6
2025-07-22 16:26:48.173,7.30	0.34		591.0		203.3
2025-07-22 16:26:48.223,7.36	0.30		523.5		157.1
2025-07-22 16:26:48.273,7.41	0.11		211.1		22.8
2025-07-22 16:26:48.322,7.46	0.00		20.8		0.0
2025-07-22 16:26:48.374,7.51	0.00		-0.8		0.0
2025-07-22 16:26:48.423,7.55	0.00		-0.7		0.0
2025-07-22 16:26:48.473,7.61	0.00		43.2		0.0
2025-07-22 16:26:48.522,7.66	0.10		202.7		21.1
2025-07-22 16:26:48.574,7.71	0.26		450.9		119.0
2025-07-22 16:26:48.624,7.76	0.33		526.5		174.8
2025-07-22 16:26:48.674,7.80	0.29		550.6		160.8
2025-07-22 16:26:48.723,7.86	0.31		540.3		168.6
2025-07-22 16:26:48.773,7.91	0.18		275.5		49.6
2025-07-22 16:26:48.822,7.96	0.00		55.2		0.0
2025-07-22 16:26:48.874,8.01	0.00		0.3		0.0
2025-07-22 16:26:48.924,8.06	0.00		-0.6		0.0
2025-07-22 16:26:48.973,8.10	0.00		25.0		0.0
2025-07-22 16:26:49.022,8.15	0.14		284.5		39.8
2025-07-22 16:26:49.074,8.21	0.32		521.9		167.0
2025-07-22 16:26:49.124,8.26	0.44		831.8		362.7
2025-07-22 16:26:49.173,8.31	0.42		685.0		290.4
2025-07-22 16:26:49.223,8.35	0.28		593.7		168.6
2025-07-22 16:26:49.275,8.41	0.14		220.1		30.8
2025-07-22 16:26:49.324,8.46	0.00		5.4		0.0
2025-07-22 16:26:49.375,8.51	0.00		-0.2		0.0
2025-07-22 16:26:49.424,8.56	0.00		-0.5		0.0
2025-07-22 16:26:49.476,8.61	0.00		59.9		0.0
2025-07-22 16:26:49.525,8.66	0.10		193.8		18.6
2025-07-22 16:26:49.574,8.71	0.26		389.2		99.6
2025-07-22 16:26:49.624,8.76	0.32		598.8		194.0
2025-07-22 16:26:49.673,8.81	0.32		542.6		175.8
2025-07-22 16:26:49.726,8.86	0.21		455.4		96.5
2025-07-22 16:26:49.775,8.91	0.16		302.4		48.4
2025-07-22 16:26:49.825,8.96	0.01		76.5		0.9
2025-07-22 16:26:49.874,9.01	0.00		-0.3		0.0
2025-07-22 16:26:49.922,9.06	0.00		-0.6		0.0
2025-07-22 16:26:49.975,9.11	0.00		10.4		0.0
2025-07-22 16:26:50.025,9.16	0.16		384.1		63.0
2025-07-22 16:26:50.074,9.21	0.27		529.9		144.1
2025-07-22 16:26:50.124,9.26	0.35		620.1		218.3
2025-07-22 16:26:50.173,9.31	0.36		522.6		188.1
2025-07-22 16:26:50.225,9.36	0.25		528.2		131.0
2025-07-22 16:26:50.275,9.41	0.06		162.4		10.4
2025-07-22 16:26:50.324,9.46	0.00		4.5		0.0
2025-07-22 16:26:50.374,9.51	0.00		-0.5		0.0
2025-07-22 16:26:50.426,9.56	0.00		-0.6		0.0
2025-07-22 16:26:50.475,9.61	0.00		80.3		0.3
2025-07-22 16:26:50.525,9.66	0.11		283.5		31.8
2025-07-22 16:26:50.574,9.71	0.26		487.4		124.8
2025-07-22 16:26:50.623,9.76	0.33		577.0		189.3
2025-07-22 16:26:50.676,9.81	0.34		477.7		160.5
2025-07-22 16:26:50.725,9.86	0.24		404.3		95.4
2025-07-22 16:26:50.774,9.91	0.11		226.7		25.4
2025-07-22 16:26:50.824,9.96	0.00		15.3		0.0
2025-07-22 16:26:50.873,10.01	0.00		0.0		0.0
2025-07-22 16:26:50.926,10.06	0.00		-0.7		0.0
2025-07-22 16:26:50.975,10.11	0.00		2.5		0.0
2025-07-22 16:26:51.024,10.16	0.15		293.1		44.6
2025-07-22 16:26:51.074,10.21	0.39		658.1		258.0
2025-07-22 16:26:51.124,10.26	0.46		756.0		344.7
2025-07-22 16:26:51.176,10.31	0.44		659.6		292.9
2025-07-22 16:26:51.225,10.36	0.36		617.5		219.8
2025-07-22 16:26:51.275,10.41	0.10		202.2		21.0
2025-07-22 16:26:51.325,10.46	0.00		6.8		0.0
2025-07-22 16:26:51.373,10.51	0.00		-0.7		0.0
2025-07-22 16:26:51.425,10.56	0.00		-0.6		0.0
2025-07-22 16:26:51.475,10.61	0.00		85.2		0.0
2025-07-22 16:26:51.525,10.66	0.06		165.0		10.6
2025-07-22 16:26:51.574,10.71	0.22		436.5		97.8
2025-07-22 16:26:51.623,10.76	0.36		690.9		248.7
2025-07-22 16:26:51.675,10.81	0.31		611.7		188.4
2025-07-22 16:26:51.725,10.86	0.26		478.3		124.4
2025-07-22 16:26:51.774,10.91	0.15		257.8		39.2
2025-07-22 16:26:51.824,10.96	0.01		47.3		0.4
2025-07-22 16:26:51.876,11.01	0.00		-0.1		0.0
2025-07-22 16:26:51.925,11.06	0.00		-0.3		0.0
2025-07-22 16:26:51.975,11.11	0.00		11.2		0.0
2025-07-22 16:26:52.024,11.16	0.12		243.7		28.3
2025-07-22 16:26:52.076,11.21	0.34		589.0		202.6
2025-07-22 16:26:52.126,11.26	0.46		755.8		350.7
2025-07-22 16:26:52.176,11.31	0.39		633.8		248.4
2025-07-22 16:26:52.226,11.36	0.37		611.6		225.1
2025-07-22 16:26:52.277,11.41	0.10		230.0		23.9
2025-07-22 16:26:52.327,11.46	0.00		34.3		0.0
2025-07-22 16:26:52.376,11.51	0.00		-0.2		0.0
2025-07-22 16:26:52.426,11.56	0.00		-0.5		0.0
2025-07-22 16:26:52.475,11.61	0.00		25.8		0.0
2025-07-22 16:26:52.527,11.66	0.09		211.0		18.6
2025-07-22 16:26:52.576,11.71	0.19		415.2		79.7
2025-07-22 16:26:52.626,11.76	0.26		535.8		139.3
2025-07-22 16:26:52.675,11.81	0.36		587.8		211.6
2025-07-22 16:26:52.728,11.86	0.24		456.0		111.3
2025-07-22 16:26:52.777,11.91	0.21		399.8		83.2
2025-07-22 16:26:52.826,11.96	0.02		83.0		1.3
2025-07-22 16:26:52.876,12.01	0.00		0.8		0.0
2025-07-22 16:26:52.926,12.06	0.00		-0.5		0.0
2025-07-22 16:26:52.974,12.11	0.00		0.3		0.0
2025-07-22 16:26:53.027,12.16	0.12		237.6		27.6
2025-07-22 16:26:53.076,12.21	0.29		602.8		173.6
2025-07-22 16:26:53.126,12.26	0.38		676.3		254.3
2025-07-22 16:26:53.175,12.31	0.46		757.7		348.5
2025-07-22 16:26:53.227,12.36	0.36		600.2		218.5
2025-07-22 16:26:53.277,12.41	0.12		230.7		26.8
2025-07-22 16:26:53.327,12.46	0.00		47.6		0.0
2025-07-22 16:26:53.376,12.51	0.00		-0.3		0.0
2025-07-22 16:26:53.426,12.56	0.00		-0.6		0.0
2025-07-22 16:26:53.477,12.61	0.00		52.2		0.0
2025-07-22 16:26:53.527,12.66	0.05		154.5		8.0
2025-07-22 16:26:53.576,12.71	0.23		384.2		87.6
2025-07-22 16:26:53.626,12.76	0.33		542.9		180.2
2025-07-22 16:26:53.678,12.81	0.36		672.5		242.1
2025-07-22 16:26:53.727,12.86	0.29		446.9		128.7
2025-07-22 16:26:53.778,12.91	0.21		398.7		82.9
2025-07-22 16:26:53.827,12.96	0.02		83.5		1.3
2025-07-22 16:26:53.879,13.01	0.00		0.6		0.0
2025-07-22 16:26:53.928,13.06	0.00		-0.6		0.0
2025-07-22 16:26:53.977,13.11	0.00		31.1		0.0
2025-07-22 16:26:54.027,13.16	0.10		250.0		26.0
2025-07-22 16:26:54.077,13.21	0.34		576.7		196.1
2025-07-22 16:26:54.129,13.26	0.44		751.6		330.7
2025-07-22 16:26:54.178,13.31	0.41		667.3		274.9
2025-07-22 16:26:54.227,13.36	0.28		511.3		141.1
2025-07-22 16:26:54.277,13.41	0.18		329.4		58.0
2025-07-22 16:26:54.327,13.46	0.00		10.1		0.0
2025-07-22 16:26:54.378,13.51	0.00		-0.5		0.0
2025-07-22 16:26:54.428,13.56	0.00		-0.5		0.0
2025-07-22 16:26:54.477,13.61	0.00		30.8		0.0
2025-07-22 16:26:54.527,13.66	0.08		135.0		10.3
2025-07-22 16:26:54.576,13.71	0.25		451.6		112.0
2025-07-22 16:26:54.628,13.76	0.25		539.4		135.9
2025-07-22 16:26:54.678,13.81	0.36		515.9		185.7
2025-07-22 16:26:54.727,13.86	0.23		412.8		95.8
2025-07-22 16:26:54.777,13.91	0.18		364.0		67.0
2025-07-22 16:26:54.826,13.96	0.00		30.6		0.0
2025-07-22 16:26:54.878,14.01	0.00		1.3		0.0
2025-07-22 16:26:54.928,14.06	0.00		-0.5		0.0
2025-07-22 16:26:54.977,14.11	0.00		27.0		0.0
2025-07-22 16:26:55.027,14.16	0.12		260.0		31.2
2025-07-22 16:26:55.075,14.21	0.26		465.9		121.1
2025-07-22 16:26:55.128,14.26	0.35		536.8		189.0
2025-07-22 16:26:55.177,14.31	0.34		491.0		166.9
2025-07-22 16:26:55.227,14.36	0.23		410.0		93.5
2025-07-22 16:26:55.277,14.41	0.08		182.9		14.6
2025-07-22 16:26:55.329,14.46	0.00		7.2		0.0
2025-07-22 16:26:55.378,14.51	0.00		-0.7		0.0
2025-07-22 16:26:55.427,14.56	0.00		-0.3		0.0
2025-07-22 16:26:55.477,14.61	0.00		37.6		0.0
2025-07-22 16:26:55.527,14.66	0.10		229.7		23.9
2025-07-22 16:26:55.579,14.71	0.17		346.9		58.3
2025-07-22 16:26:55.628,14.76	0.31		461.2		143.9
2025-07-22 16:26:55.677,14.81	0.30		508.2		150.4
2025-07-22 16:26:55.727,14.86	0.26		449.4		115.0
2025-07-22 16:26:55.776,14.91	0.14		295.9		42.6
2025-07-22 16:26:55.828,14.96	0.00		16.4		0.0
2025-07-22 16:26:55.878,15.01	0.00		0.0		0.0
2025-07-22 16:26:55.927,15.06	0.00		-0.7		0.0
2025-07-22 16:26:55.976,15.11	0.00		1.8		0.0
2025-07-22 16:26:56.026,15.16	0.12		243.0		29.2
2025-07-22 16:26:56.078,15.21	0.30		628.9		188.7
2025-07-22 16:26:56.128,15.26	0.33		559.2		185.7
2025-07-22 16:26:56.177,15.31	0.36		612.9		223.1
2025-07-22 16:26:56.227,15.36	0.23		409.1		93.3
2025-07-22 16:26:56.276,15.41	0.07		150.0		10.2
2025-07-22 16:26:56.328,15.46	0.00		3.8		0.0
2025-07-22 16:26:56.377,15.51	0.00		-0.4		0.0
2025-07-22 16:26:56.428,15.56	0.00		-0.7		0.0
2025-07-22 16:26:56.477,15.61	0.02		87.3		1.4
2025-07-22 16:26:56.529,15.66	0.10		238.4		24.8
2025-07-22 16:26:56.579,15.71	0.19		411.8		77.4
2025-07-22 16:26:56.629,15.76	0.26		457.6		117.1
2025-07-22 16:26:56.680,15.81	0.35		618.2		217.6
2025-07-22 16:26:56.730,15.86	0.18		402.6		74.1
2025-07-22 16:26:56.780,15.91	0.10		222.9		22.3
2025-07-22 16:26:56.829,15.96	0.00		26.9		0.0
2025-07-22 16:26:56.878,16.01	0.00		-0.6		0.0
2025-07-22 16:26:56.927,16.06	0.00		-0.8		0.0
2025-07-22 16:26:56.979,16.11	0.00		5.8		0.0
2025-07-22 16:26:57.029,16.16	0.13		293.9		37.6
2025-07-22 16:26:57.079,16.21	0.33		496.6		162.9
2025-07-22 16:26:57.128,16.26	0.44		769.6		341.7
2025-07-22 16:26:57.180,16.31	0.35		686.9		241.8
2025-07-22 16:26:57.229,16.36	0.27		435.7		116.8
2025-07-22 16:26:57.280,16.41	0.08		176.3		14.1
2025-07-22 16:26:57.329,16.46	0.00		19.1		0.0
2025-07-22 16:26:57.381,16.51	0.00		-0.6		0.0
2025-07-22 16:26:57.430,16.56	0.00		-0.5		0.0
2025-07-22 16:26:57.479,16.61	0.01		89.5		0.7
2025-07-22 16:26:57.530,16.66	0.10		273.3		28.4
2025-07-22 16:26:57.578,16.71	0.24		467.8		112.3
2025-07-22 16:26:57.631,16.76	0.32		569.3		182.2
2025-07-22 16:26:57.680,16.81	0.36		513.7		182.9
2025-07-22 16:26:57.729,16.86	0.24		432.0		103.7
2025-07-22 16:26:57.779,16.91	0.12		235.4		28.2
2025-07-22 16:26:57.828,16.96	0.00		25.9		0.0
2025-07-22 16:26:57.880,17.01	0.00		-0.5		0.0
2025-07-22 16:26:57.930,17.06	0.00		-0.5		0.0
2025-07-22 16:26:57.979,17.11	0.00		4.4		0.0
2025-07-22 16:26:58.029,17.16	0.15		356.2		54.1
2025-07-22 16:26:58.081,17.21	0.29		508.1		146.3
2025-07-22 16:26:58.131,17.26	0.39		741.9		287.9
2025-07-22 16:26:58.181,17.31	0.38		665.1		250.1
2025-07-22 16:26:58.230,17.36	0.24		420.0		102.5
2025-07-22 16:26:58.279,17.41	0.05		139.1		7.2
2025-07-22 16:26:58.331,17.46	0.00		2.6		0.0
2025-07-22 16:26:58.380,17.51	0.00		-0.5		0.0
2025-07-22 16:26:58.431,17.56	0.00		-0.4		0.0
2025-07-22 16:26:58.479,17.61	0.00		16.1		0.0
2025-07-22 16:26:58.532,17.66	0.13		289.3		38.2
