Timestamp,Data
2025-08-04 10:08:40.279,INA219 sensor found!
2025-08-04 10:08:40.282,Time(s)	Voltage(V)	Current(mA)	Power(mW)
2025-08-04 10:08:40.285,1.00	0.51		524.7		266.5
2025-08-04 10:08:40.331,1.05	0.43		452.4		193.6
2025-08-04 10:08:40.381,1.10	0.21		239.1		50.7
2025-08-04 10:08:40.430,1.15	0.04		71.4		2.9
2025-08-04 10:08:40.482,1.20	0.00		0.1		0.0
2025-08-04 10:08:40.531,1.25	0.00		-0.3		0.0
2025-08-04 10:08:40.582,1.30	0.00		-0.3		0.0
2025-08-04 10:08:40.630,1.35	0.00		-0.5		0.0
2025-08-04 10:08:40.683,1.40	0.00		-0.8		0.0
2025-08-04 10:08:40.732,1.45	0.00		-0.3		0.0
2025-08-04 10:08:40.781,1.50	0.00		-0.6		0.0
2025-08-04 10:08:40.831,1.55	0.00		-0.6		0.0
2025-08-04 10:08:40.881,1.60	0.00		-0.6		0.0
2025-08-04 10:08:40.932,1.65	0.00		-0.7		0.0
2025-08-04 10:08:40.982,1.70	0.71		752.6		535.9
2025-08-04 10:08:41.031,1.75	0.88		904.7		792.5
2025-08-04 10:08:41.080,1.80	1.04		1066.0		1112.9
2025-08-04 10:08:41.133,1.85	1.08		1105.1		1193.5
2025-08-04 10:08:41.182,1.90	0.82		846.1		693.8
2025-08-04 10:08:41.232,1.95	0.62		692.9		432.4
2025-08-04 10:08:41.281,2.00	0.46		510.2		236.7
2025-08-04 10:08:41.331,2.05	0.30		316.9		95.1
2025-08-04 10:08:41.383,2.10	0.16		191.3		31.4
2025-08-04 10:08:41.432,2.15	0.03		62.7		2.0
2025-08-04 10:08:41.482,2.20	0.00		2.7		0.0
2025-08-04 10:08:41.531,2.25	0.00		-0.2		0.0
2025-08-04 10:08:41.580,2.30	0.00		-0.3		0.0
2025-08-04 10:08:41.630,2.35	0.00		-0.6		0.0
2025-08-04 10:08:41.682,2.40	0.00		-0.5		0.0
2025-08-04 10:08:41.733,2.45	0.00		-0.7		0.0
2025-08-04 10:08:41.781,2.50	0.00		-0.8		0.0
2025-08-04 10:08:41.833,2.55	0.00		-0.7		0.0
2025-08-04 10:08:41.883,2.60	0.00		-0.8		0.0
2025-08-04 10:08:41.933,2.65	0.00		-0.8		0.0
2025-08-04 10:08:41.982,2.70	0.00		-0.4		0.0
2025-08-04 10:08:42.034,2.75	0.81		869.0		705.6
2025-08-04 10:08:42.084,2.80	1.14		1167.3		1326.1
2025-08-04 10:08:42.133,2.85	1.05		1099.4		1152.2
2025-08-04 10:08:42.183,2.90	1.00		1031.6		1027.5
2025-08-04 10:08:42.232,2.95	0.76		745.1		569.3
2025-08-04 10:08:42.284,3.00	0.60		615.6		369.4
2025-08-04 10:08:42.333,3.05	0.41		442.7		180.6
2025-08-04 10:08:42.383,3.10	0.24		269.0		64.6
2025-08-04 10:08:42.432,3.15	0.04		75.8		3.3
2025-08-04 10:08:42.482,3.20	0.00		4.7		0.0
2025-08-04 10:08:42.534,3.25	0.00		-0.3		0.0
2025-08-04 10:08:42.583,3.30	0.00		-0.1		0.0
2025-08-04 10:08:42.633,3.35	0.00		-0.5		0.0
2025-08-04 10:08:42.682,3.40	0.00		-0.3		0.0
2025-08-04 10:08:42.735,3.45	0.00		-0.5		0.0
2025-08-04 10:08:42.784,3.50	0.00		-0.5		0.0
2025-08-04 10:08:42.833,3.55	0.00		-0.5		0.0
2025-08-04 10:08:42.883,3.60	0.00		-0.3		0.0
2025-08-04 10:08:42.932,3.65	0.00		-0.7		0.0
2025-08-04 10:08:42.984,3.70	0.00		-0.8		0.0
2025-08-04 10:08:43.034,3.75	0.00		4.6		0.0
2025-08-04 10:08:43.083,3.80	0.68		702.5		480.5
2025-08-04 10:08:43.133,3.85	0.63		614.4		385.8
2025-08-04 10:08:43.182,3.90	0.66		678.1		447.5
2025-08-04 10:08:43.234,3.95	0.58		624.1		364.5
2025-08-04 10:08:43.284,4.00	0.58		593.9		344.5
2025-08-04 10:08:43.333,4.05	0.50		503.1		253.6
2025-08-04 10:08:43.383,4.10	0.42		445.2		187.0
2025-08-04 10:08:43.435,4.15	0.35		377.2		131.3
