Timestamp,Data
2025-08-04 16:21:31.944,INA219 sensor found!
2025-08-04 16:21:31.947,Time(s)	Voltage(V)	Current(mA)	Power(mW)
2025-08-04 16:21:31.949,1.00	1.85		557.5		1030.3
2025-08-04 16:21:31.996,1.05	1.66		506.8		841.3
2025-08-04 16:21:32.046,1.10	1.42		433.1		615.0
2025-08-04 16:21:32.096,1.15	1.18		362.2		428.8
2025-08-04 16:21:32.147,1.20	0.82		251.6		207.3
2025-08-04 16:21:32.197,1.25	0.52		163.2		84.9
2025-08-04 16:21:32.246,1.30	0.26		84.5		21.6
2025-08-04 16:21:32.296,1.35	0.12		44.6		5.4
2025-08-04 16:21:32.348,1.40	0.05		23.6		1.1
2025-08-04 16:21:32.397,1.45	0.01		12.8		0.1
2025-08-04 16:21:32.446,1.50	0.00		6.9		0.0
2025-08-04 16:21:32.496,1.55	0.00		3.8		0.0
2025-08-04 16:21:32.546,1.60	0.00		1.8		0.0
2025-08-04 16:21:32.598,1.65	0.00		1.1		0.0
2025-08-04 16:21:32.647,1.70	0.00		0.6		0.0
2025-08-04 16:21:32.697,1.75	0.00		0.3		0.0
2025-08-04 16:21:32.747,1.80	0.00		0.0		0.0
2025-08-04 16:21:32.795,1.85	0.05		31.2		1.6
2025-08-04 16:21:32.848,1.90	0.91		282.7		256.7
2025-08-04 16:21:32.897,1.95	1.27		386.5		490.1
2025-08-04 16:21:32.947,2.00	1.38		421.3		581.4
2025-08-04 16:21:32.997,2.05	1.50		455.2		682.8
2025-08-04 16:21:33.045,2.10	1.47		449.7		662.0
2025-08-04 16:21:33.098,2.15	1.26		378.4		475.3
2025-08-04 16:21:33.147,2.20	0.85		263.9		224.8
2025-08-04 16:21:33.197,2.25	0.46		141.5		64.5
2025-08-04 16:21:33.247,2.30	0.22		74.0		16.3
2025-08-04 16:21:33.295,2.35	0.10		39.0		4.1
2025-08-04 16:21:33.347,2.40	0.04		21.1		0.8
2025-08-04 16:21:33.398,2.45	0.01		11.1		0.1
2025-08-04 16:21:33.447,2.50	0.00		5.7		0.0
2025-08-04 16:21:33.496,2.55	0.00		3.1		0.0
2025-08-04 16:21:33.548,2.60	0.00		1.4		0.0
2025-08-04 16:21:33.599,2.65	0.00		0.7		0.0
2025-08-04 16:21:33.647,2.70	0.00		0.6		0.0
2025-08-04 16:21:33.696,2.75	0.00		-0.1		0.0
2025-08-04 16:21:33.749,2.80	0.00		-0.1		0.0
2025-08-04 16:21:33.799,2.85	0.00		-0.3		0.0
2025-08-04 16:21:33.848,2.90	0.74		243.1		178.9
2025-08-04 16:21:33.898,2.95	1.42		433.4		615.4
2025-08-04 16:21:33.950,3.00	1.47		449.4		659.7
2025-08-04 16:21:33.999,3.05	1.53		464.5		709.8
2025-08-04 16:21:34.049,3.10	1.55		474.0		735.6
2025-08-04 16:21:34.098,3.15	1.47		448.4		660.0
2025-08-04 16:21:34.147,3.20	1.27		389.7		495.7
2025-08-04 16:21:34.199,3.25	0.95		290.1		275.0
2025-08-04 16:21:34.249,3.30	0.52		163.9		85.2
2025-08-04 16:21:34.299,3.35	0.26		84.6		21.7
2025-08-04 16:21:34.349,3.40	0.12		44.7		5.5
2025-08-04 16:21:34.400,3.45	0.05		23.4		1.2
2025-08-04 16:21:34.449,3.50	0.01		13.0		0.2
2025-08-04 16:21:34.499,3.55	0.00		7.1		0.0
2025-08-04 16:21:34.548,3.60	0.00		3.6		0.0
2025-08-04 16:21:34.597,3.65	0.00		2.1		0.0
2025-08-04 16:21:34.650,3.70	0.00		0.8		0.0
2025-08-04 16:21:34.699,3.75	0.00		0.4		0.0
2025-08-04 16:21:34.748,3.80	0.00		0.2		0.0
2025-08-04 16:21:34.798,3.85	0.00		-0.2		0.0
2025-08-04 16:21:34.849,3.90	0.61		196.0		120.0
2025-08-04 16:21:34.900,3.95	1.56		475.4		739.7
2025-08-04 16:21:34.949,4.00	1.60		485.1		774.2
2025-08-04 16:21:34.999,4.05	1.59		481.8		765.1
2025-08-04 16:21:35.049,4.10	1.52		467.1		710.0
2025-08-04 16:21:35.100,4.15	1.55		473.5		734.9
2025-08-04 16:21:35.150,4.20	1.52		464.3		705.7
2025-08-04 16:21:35.201,4.25	1.38		422.0		584.0
2025-08-04 16:21:35.249,4.30	1.16		355.3		412.1
2025-08-04 16:21:35.298,4.35	0.80		247.4		198.9
2025-08-04 16:21:35.350,4.40	0.42		131.9		54.9
2025-08-04 16:21:35.400,4.45	0.20		69.3		14.1
2025-08-04 16:21:35.450,4.50	0.09		36.2		3.3
2025-08-04 16:21:35.499,4.55	0.04		19.4		0.7
2025-08-04 16:21:35.551,4.60	0.00		10.4		0.0
2025-08-04 16:21:35.600,4.65	0.00		5.8		0.0
2025-08-04 16:21:35.650,4.70	0.00		3.3		0.0
2025-08-04 16:21:35.699,4.75	0.00		1.4		0.0
2025-08-04 16:21:35.748,4.80	0.00		0.9		0.0
2025-08-04 16:21:35.801,4.85	0.00		0.3		0.0
2025-08-04 16:21:35.850,4.90	0.00		0.3		0.0
2025-08-04 16:21:35.899,4.95	0.00		6.6		0.0
2025-08-04 16:21:35.950,5.00	1.26		390.3		491.8
2025-08-04 16:21:35.999,5.05	1.75		531.9		931.9
2025-08-04 16:21:36.051,5.10	1.79		543.9		974.7
2025-08-04 16:21:36.100,5.15	1.85		565.0		1046.4
2025-08-04 16:21:36.150,5.20	1.97		599.9		1183.0
2025-08-04 16:21:36.199,5.25	2.04		617.9		1260.5
2025-08-04 16:21:36.249,5.30	1.97		597.8		1178.9
2025-08-04 16:21:36.301,5.35	1.80		543.3		980.1
2025-08-04 16:21:36.350,5.40	1.45		442.4		642.4
2025-08-04 16:21:36.400,5.45	0.88		269.1		235.7
2025-08-04 16:21:36.449,5.50	0.45		140.1		62.8
2025-08-04 16:21:36.499,5.55	0.22		73.9		16.3
2025-08-04 16:21:36.551,5.60	0.10		39.0		4.1
2025-08-04 16:21:36.600,5.65	0.04		21.1		0.8
2025-08-04 16:21:36.649,5.70	0.01		11.5		0.1
2025-08-04 16:21:36.699,5.75	0.00		6.4		0.0
2025-08-04 16:21:36.748,5.80	0.00		3.8		0.0
2025-08-04 16:21:36.800,5.85	0.00		1.8		0.0
2025-08-04 16:21:36.850,5.90	0.00		1.1		0.0
2025-08-04 16:21:36.900,5.95	0.00		0.4		0.0
2025-08-04 16:21:36.949,6.00	0.00		0.2		0.0
2025-08-04 16:21:37.001,6.05	0.47		153.0		71.6
2025-08-04 16:21:37.050,6.10	1.66		508.0		841.2
2025-08-04 16:21:37.101,6.15	1.76		536.3		943.9
2025-08-04 16:21:37.150,6.20	1.90		578.8		1102.0
2025-08-04 16:21:37.202,6.25	1.96		597.8		1174.1
2025-08-04 16:21:37.251,6.30	1.91		581.0		1110.9
2025-08-04 16:21:37.302,6.35	1.86		561.9		1045.1
2025-08-04 16:21:37.350,6.40	1.77		537.8		950.8
2025-08-04 16:21:37.399,6.45	1.61		488.9		788.1
2025-08-04 16:21:37.451,6.50	1.28		391.0		498.9
2025-08-04 16:21:37.501,6.55	0.84		254.9		214.1
2025-08-04 16:21:37.551,6.60	0.42		132.4		55.1
2025-08-04 16:21:37.600,6.65	0.20		68.9		14.1
2025-08-04 16:21:37.650,6.70	0.10		37.3		3.6
2025-08-04 16:21:37.699,6.75	0.04		19.7		0.7
2025-08-04 16:21:37.751,6.80	0.01		10.9		0.1
2025-08-04 16:21:37.801,6.85	0.00		6.2		0.0
2025-08-04 16:21:37.850,6.90	0.00		3.5		0.0
2025-08-04 16:21:37.899,6.96	0.00		1.7		0.0
2025-08-04 16:21:37.951,7.01	0.00		1.0		0.0
2025-08-04 16:21:38.001,7.05	0.00		0.5		0.0
2025-08-04 16:21:38.050,7.11	0.00		0.2		0.0
2025-08-04 16:21:38.103,7.16	0.58		187.8		108.9
2025-08-04 16:21:38.152,7.21	2.09		633.8		1323.4
2025-08-04 16:21:38.201,7.26	2.22		673.7		1498.3
2025-08-04 16:21:38.251,7.30	2.28		688.4		1566.8
2025-08-04 16:21:38.301,7.36	2.22		674.6		1500.3
2025-08-04 16:21:38.353,7.41	2.01		605.1		1215.0
2025-08-04 16:21:38.402,7.46	1.70		518.2		880.9
2025-08-04 16:21:38.452,7.51	1.44		434.7		626.0
2025-08-04 16:21:38.500,7.55	1.16		357.1		415.7
2025-08-04 16:21:38.551,7.61	0.82		250.2		205.2
2025-08-04 16:21:38.603,7.66	0.46		144.2		66.3
2025-08-04 16:21:38.652,7.71	0.22		76.1		17.0
2025-08-04 16:21:38.702,7.76	0.11		39.9		4.3
2025-08-04 16:21:38.751,7.80	0.04		21.5		0.9
2025-08-04 16:21:38.800,7.86	0.01		11.8		0.1
2025-08-04 16:21:38.852,7.91	0.00		6.9		0.0
2025-08-04 16:21:38.902,7.96	0.00		3.8		0.0
2025-08-04 16:21:38.951,8.01	0.00		2.2		0.0
2025-08-04 16:21:39.000,8.06	0.00		1.3		0.0
2025-08-04 16:21:39.053,8.10	0.00		0.5		0.0
2025-08-04 16:21:39.102,8.15	0.00		0.3		0.0
2025-08-04 16:21:39.152,8.21	0.04		23.7		1.0
2025-08-04 16:21:39.202,8.26	1.76		543.5		954.4
2025-08-04 16:21:39.250,8.31	2.34		710.8		1666.1
2025-08-04 16:21:39.303,8.35	2.51		758.7		1902.8
2025-08-04 16:21:39.353,8.41	2.59		783.5		2030.8
2025-08-04 16:21:39.402,8.46	2.48		751.9		1867.7
2025-08-04 16:21:39.452,8.51	2.22		666.3		1476.5
2025-08-04 16:21:39.504,8.56	1.91		580.2		1107.0
2025-08-04 16:21:39.553,8.61	1.67		503.5		841.9
2025-08-04 16:21:39.602,8.66	1.41		428.1		602.8
2025-08-04 16:21:39.653,8.71	1.07		325.5		348.9
2025-08-04 16:21:39.702,8.76	0.60		186.1		111.7
2025-08-04 16:21:39.754,8.81	0.30		96.4		28.5
2025-08-04 16:21:39.803,8.86	0.14		51.1		7.4
2025-08-04 16:21:39.853,8.91	0.06		27.3		1.7
2025-08-04 16:21:39.902,8.96	0.02		14.9		0.3
2025-08-04 16:21:39.951,9.01	0.00		8.3		0.0
2025-08-04 16:21:40.004,9.06	0.00		4.8		0.0
2025-08-04 16:21:40.053,9.11	0.00		2.6		0.0
2025-08-04 16:21:40.102,9.16	0.00		1.9		0.0
2025-08-04 16:21:40.152,9.21	0.00		0.9		0.0
2025-08-04 16:21:40.204,9.26	0.00		0.5		0.0
2025-08-04 16:21:40.253,9.31	0.00		0.0		0.0
2025-08-04 16:21:40.302,9.36	0.00		0.1		0.0
2025-08-04 16:21:40.353,9.41	0.82		257.1		209.8
2025-08-04 16:21:40.401,9.46	1.66		506.7		843.1
2025-08-04 16:21:40.454,9.51	1.74		529.1		918.5
2025-08-04 16:21:40.503,9.56	1.89		578.7		1094.9
2025-08-04 16:21:40.552,9.61	2.21		669.4		1478.0
2025-08-04 16:21:40.602,9.66	2.32		701.4		1624.4
2025-08-04 16:21:40.654,9.71	2.10		636.0		1335.6
2025-08-04 16:21:40.704,9.76	1.79		540.8		967.0
2025-08-04 16:21:40.753,9.81	1.46		443.7		649.6
2025-08-04 16:21:40.804,9.86	1.08		331.3		357.8
2025-08-04 16:21:40.852,9.91	0.62		191.8		119.7
2025-08-04 16:21:40.904,9.96	0.31		100.9		31.1
2025-08-04 16:21:40.954,10.01	0.15		52.5		7.8
2025-08-04 16:21:41.004,10.06	0.06		28.3		1.8
2025-08-04 16:21:41.053,10.11	0.02		15.3		0.4
2025-08-04 16:21:41.102,10.16	0.00		8.8		0.0
2025-08-04 16:21:41.152,10.21	0.00		4.7		0.0
2025-08-04 16:21:41.204,10.26	0.00		2.9		0.0
2025-08-04 16:21:41.254,10.31	0.00		1.6		0.0
2025-08-04 16:21:41.303,10.36	0.00		1.1		0.0
2025-08-04 16:21:41.352,10.41	0.00		0.5		0.0
2025-08-04 16:21:41.401,10.46	0.00		0.2		0.0
2025-08-04 16:21:41.453,10.51	0.00		1.3		0.0
2025-08-04 16:21:41.504,10.56	1.31		405.7		532.3
2025-08-04 16:21:41.553,10.61	1.91		577.8		1102.4
2025-08-04 16:21:41.605,10.66	2.06		628.1		1293.9
2025-08-04 16:21:41.654,10.71	2.25		682.4		1536.8
2025-08-04 16:21:41.703,10.76	2.33		708.5		1652.2
2025-08-04 16:21:41.754,10.81	2.38		722.6		1722.7
