Segment,Start_Time,End_Time,Mean_Power,Std_Error,Std_Dev,Min_Power,Max_Power,Count
0-30s,0.0,29.97,23.604666666666667,1.3426329697320902,32.88765687681272,-1.1,171.7,600
30-60s,30.019,59.989,37.032000000000004,1.8811853241257697,46.07944155720321,-1.1,227.7,600
60-90s,60.038,89.959,34.09782971619365,1.69988478602754,41.60379025010785,-1.1,171.1,599
90-120s,90.011,119.981,26.42766666666667,1.3560694378787281,33.216781785856945,-1.1,143.8,600
120-150s,120.03,149.951,22.269449081803003,1.1467665571035517,28.066511154010374,-1.2,121.8,599
150-180s,150.0,179.973,27.227833333333333,1.5530439398437872,38.04165200738932,-1.0,221.7,600
180-210s,180.023,209.992,18.798499999999997,1.1567282894865096,28.333940802843358,-1.1,152.6,600
210-240s,210.042,239.966,33.2330550918197,1.6509520917067853,40.40618817282193,-1.1,237.3,599
240-270s,240.015,269.985,31.432166666666664,1.568713260711832,38.425470414815855,-1.1,177.6,600
270-300s,270.034,299.958,38.12420701168614,2.29623221697781,56.19908143535631,-1.0,327.3,599
300-330s,300.007,329.977,36.5045,1.887188285979703,46.22648349207849,-1.0,249.6,600
330-360s,330.03,359.95,30.75091819699499,1.6908303947262606,41.38218876297346,-1.0,203.5,599
360-390s,360.0,389.97,24.19333333333333,1.6183115624361244,39.640375728147056,-1.2,236.3,600
390-420s,390.018,419.992,40.59316666666667,1.9421723247054548,47.573311880833714,-1.0,209.1,600
420-450s,420.042,449.962,56.0577629382304,2.579079860339569,63.12162943618846,-0.9,240.0,599
450-480s,450.011,479.981,47.66283333333333,2.3170969889647925,56.75705307503046,-1.0,276.3,600
480-510s,480.034,509.954,37.766777963272126,1.870783424977898,45.786444973158254,-1.1,206.7,599
510-540s,510.004,539.973,37.173,1.8570880642726952,45.489181648810344,-1.0,199.8,600
540-570s,540.026,569.996,49.515,2.2672335159405432,55.53565241790602,-1.0,234.4,600
570-600s,570.045,599.969,50.37245409015025,2.2881209783710785,56.00056311668152,-1.0,239.0,599
600-630s,600.018,629.988,47.64183333333333,2.2261154344756773,54.5284692299949,-1.0,235.6,600
630-660s,630.037,659.958,29.635058430717866,1.4686077171594663,35.94340506286658,-1.0,174.1,599
660-690s,660.011,689.98,30.267000000000007,1.5837964351596718,38.79493122580179,-1.1,175.7,600
690-720s,690.03,719.95,33.1237061769616,1.6212100301418055,39.67826678595732,-1.1,190.7,599
720-750s,720.003,749.972,20.9135,1.0767406100185952,26.37465079878651,-1.0,122.0,600
750-780s,750.022,779.991,34.52016666666666,1.7103638116919426,41.895186131669526,-1.0,252.2,600
780-810s,780.044,809.964,44.16878130217028,2.016610221656173,49.35547948168275,-1.0,214.8,599
810-840s,810.014,839.987,63.29233333333334,2.689232411814954,65.87247208700798,-1.0,271.2,600
840-870s,840.033,869.957,42.57829716193656,2.0961657120721906,51.30255846239835,-1.0,252.5,599
870-900s,870.006,894.323,71.34599589322382,4.644515214333343,102.49551701219274,-1.0,406.0,487
