Timestamp,Data
2025-07-22 16:49:59.304,INA219 sensor found!
2025-07-22 16:49:59.308,Time(s)	Voltage(V)	Current(mA)	Power(mW)
2025-07-22 16:49:59.310,1.00	0.29		836.7		244.3
2025-07-22 16:49:59.357,1.05	0.28		699.9		198.8
2025-07-22 16:49:59.406,1.10	0.17		541.9		91.0
2025-07-22 16:49:59.456,1.15	0.01		130.5		1.6
2025-07-22 16:49:59.506,1.20	0.00		-0.1		0.0
2025-07-22 16:49:59.555,1.25	0.00		-0.5		0.0
2025-07-22 16:49:59.607,1.30	0.00		7.9		0.0
2025-07-22 16:49:59.657,1.35	0.02		181.2		4.3
2025-07-22 16:49:59.706,1.40	0.14		444.8		62.3
2025-07-22 16:49:59.756,1.45	0.20		579.7		115.9
2025-07-22 16:49:59.808,1.50	0.26		625.7		162.7
2025-07-22 16:49:59.857,1.55	0.20		575.2		112.7
2025-07-22 16:49:59.907,1.60	0.20		639.9		130.5
2025-07-22 16:49:59.957,1.65	0.10		322.6		31.0
2025-07-22 16:50:00.005,1.70	0.00		6.1		0.0
2025-07-22 16:50:00.054,1.75	0.00		-0.6		0.0
2025-07-22 16:50:00.107,1.80	0.00		-0.3		0.0
2025-07-22 16:50:00.157,1.85	0.00		90.0		0.0
2025-07-22 16:50:00.207,1.90	0.11		403.0		43.5
2025-07-22 16:50:00.258,1.95	0.29		775.6		223.4
2025-07-22 16:50:00.307,2.00	0.32		820.3		259.2
2025-07-22 16:50:00.357,2.05	0.28		835.0		237.1
2025-07-22 16:50:00.407,2.10	0.24		699.7		170.7
2025-07-22 16:50:00.456,2.15	0.08		367.1		29.4
2025-07-22 16:50:00.508,2.20	0.00		11.9		0.0
2025-07-22 16:50:00.557,2.25	0.00		-0.4		0.0
2025-07-22 16:50:00.608,2.30	0.00		-0.3		0.0
2025-07-22 16:50:00.657,2.35	0.00		106.2		0.0
2025-07-22 16:50:00.706,2.40	0.05		231.7		11.1
2025-07-22 16:50:00.758,2.45	0.20		607.9		119.1
2025-07-22 16:50:00.807,2.50	0.20		659.4		131.9
2025-07-22 16:50:00.858,2.55	0.24		763.2		180.1
2025-07-22 16:50:00.906,2.60	0.17		485.0		81.5
2025-07-22 16:50:00.959,2.65	0.12		382.1		45.9
2025-07-22 16:50:01.008,2.70	0.00		31.9		0.0
2025-07-22 16:50:01.058,2.75	0.00		-0.3		0.0
2025-07-22 16:50:01.107,2.80	0.00		-0.6		0.0
2025-07-22 16:50:01.159,2.85	0.00		1.7		0.0
2025-07-22 16:50:01.208,2.90	0.12		380.9		44.2
2025-07-22 16:50:01.258,2.95	0.19		629.4		120.8
2025-07-22 16:50:01.308,3.00	0.30		879.3		267.3
2025-07-22 16:50:01.358,3.05	0.30		968.9		290.7
2025-07-22 16:50:01.409,3.10	0.25		594.9		147.5
2025-07-22 16:50:01.459,3.15	0.09		328.2		30.2
2025-07-22 16:50:01.508,3.20	0.01		90.8		0.7
2025-07-22 16:50:01.557,3.25	0.00		-0.4		0.0
2025-07-22 16:50:01.607,3.30	0.00		-0.7		0.0
2025-07-22 16:50:01.659,3.35	0.00		92.6		0.4
2025-07-22 16:50:01.708,3.40	0.10		325.8		31.3
2025-07-22 16:50:01.758,3.45	0.15		458.2		67.8
2025-07-22 16:50:01.808,3.50	0.28		863.5		245.2
2025-07-22 16:50:01.857,3.55	0.29		834.6		243.7
2025-07-22 16:50:01.909,3.60	0.23		749.2		170.8
2025-07-22 16:50:01.958,3.65	0.12		457.1		56.7
2025-07-22 16:50:02.008,3.70	0.01		77.6		0.6
2025-07-22 16:50:02.057,3.75	0.00		0.2		0.0
2025-07-22 16:50:02.107,3.80	0.00		0.0		0.0
2025-07-22 16:50:02.159,3.85	0.00		22.9		0.0
2025-07-22 16:50:02.208,3.90	0.05		222.5		10.7
2025-07-22 16:50:02.257,3.95	0.28		823.8		230.7
2025-07-22 16:50:02.307,4.00	0.32		836.7		264.4
2025-07-22 16:50:02.360,4.05	0.34		947.0		318.2
2025-07-22 16:50:02.409,4.10	0.30		840.0		252.0
2025-07-22 16:50:02.458,4.15	0.17		582.0		100.1
2025-07-22 16:50:02.508,4.20	0.02		171.4		3.4
2025-07-22 16:50:02.560,4.25	0.00		-0.2		0.0
2025-07-22 16:50:02.610,4.30	0.00		-0.7		0.0
2025-07-22 16:50:02.659,4.35	0.00		29.4		0.0
2025-07-22 16:50:02.708,4.40	0.04		216.1		7.8
2025-07-22 16:50:02.758,4.45	0.14		580.6		79.0
