Timestamp,Data
2025-08-04 16:38:15.222,INA219 sensor found!
2025-08-04 16:38:15.226,Time(s)	Voltage(V)	Current(mA)	Power(mW)
2025-08-04 16:38:15.229,1.00	0.89		882.3		787.0
2025-08-04 16:38:15.275,1.05	0.76		758.2		579.3
2025-08-04 16:38:15.325,1.10	0.48		485.7		231.2
2025-08-04 16:38:15.377,1.15	0.27		282.1		76.7
2025-08-04 16:38:15.426,1.20	0.14		164.7		22.4
2025-08-04 16:38:15.476,1.25	0.02		40.9		0.7
2025-08-04 16:38:15.526,1.30	0.00		6.9		0.0
2025-08-04 16:38:15.577,1.35	0.00		1.6		0.0
2025-08-04 16:38:15.627,1.40	0.00		0.2		0.0
2025-08-04 16:38:15.676,1.45	0.00		0.0		0.0
2025-08-04 16:38:15.726,1.50	0.00		0.1		0.0
2025-08-04 16:38:15.774,1.55	0.00		-0.1		0.0
2025-08-04 16:38:15.827,1.60	0.00		-0.1		0.0
2025-08-04 16:38:15.877,1.65	0.00		-0.3		0.0
2025-08-04 16:38:15.927,1.70	0.00		-0.6		0.0
2025-08-04 16:38:15.976,1.75	0.00		-0.5		0.0
2025-08-04 16:38:16.026,1.80	0.20		241.2		49.2
2025-08-04 16:38:16.077,1.85	0.77		768.7		590.4
2025-08-04 16:38:16.127,1.90	0.88		882.8		776.9
2025-08-04 16:38:16.177,1.95	0.91		903.2		820.1
2025-08-04 16:38:16.226,2.00	0.75		736.5		550.9
2025-08-04 16:38:16.275,2.05	0.56		568.9		318.6
2025-08-04 16:38:16.327,2.10	0.40		412.5		165.0
2025-08-04 16:38:16.377,2.15	0.29		302.9		87.2
2025-08-04 16:38:16.426,2.20	0.16		184.3		30.2
2025-08-04 16:38:16.476,2.25	0.04		63.3		2.3
2025-08-04 16:38:16.528,2.30	0.00		9.6		0.0
2025-08-04 16:38:16.577,2.35	0.00		2.1		0.0
2025-08-04 16:38:16.626,2.40	0.00		0.2		0.0
2025-08-04 16:38:16.676,2.45	0.00		-0.1		0.0
2025-08-04 16:38:16.726,2.50	0.00		-0.2		0.0
2025-08-04 16:38:16.778,2.55	0.00		-0.4		0.0
2025-08-04 16:38:16.827,2.60	0.00		-0.5		0.0
2025-08-04 16:38:16.876,2.65	0.00		-0.7		0.0
2025-08-04 16:38:16.926,2.70	0.00		-0.2		0.0
2025-08-04 16:38:16.978,2.75	0.00		-0.3		0.0
2025-08-04 16:38:17.028,2.80	0.02		48.6		0.8
2025-08-04 16:38:17.077,2.85	0.59		615.0		364.1
2025-08-04 16:38:17.127,2.90	0.67		675.5		453.9
2025-08-04 16:38:17.176,2.95	0.80		798.0		635.2
2025-08-04 16:38:17.228,3.00	0.76		760.1		577.7
2025-08-04 16:38:17.278,3.05	0.57		566.2		321.6
2025-08-04 16:38:17.327,3.10	0.42		429.3		178.6
2025-08-04 16:38:17.377,3.15	0.34		347.9		118.3
2025-08-04 16:38:17.427,3.20	0.20		218.5		42.8
2025-08-04 16:38:17.478,3.25	0.05		73.3		3.5
2025-08-04 16:38:17.528,3.30	0.00		11.7		0.0
2025-08-04 16:38:17.577,3.35	0.00		2.1		0.0
2025-08-04 16:38:17.626,3.40	0.00		0.5		0.0
2025-08-04 16:38:17.679,3.45	0.00		0.1		0.0
2025-08-04 16:38:17.728,3.50	0.00		0.0		0.0
2025-08-04 16:38:17.778,3.55	0.00		-0.3		0.0
2025-08-04 16:38:17.828,3.60	0.00		-0.6		0.0
2025-08-04 16:38:17.877,3.65	0.00		-0.5		0.0
2025-08-04 16:38:17.929,3.70	0.00		-0.7		0.0
2025-08-04 16:38:17.978,3.75	0.00		-0.3		0.0
2025-08-04 16:38:18.028,3.80	0.52		563.1		292.8
2025-08-04 16:38:18.077,3.85	0.96		953.3		915.2
2025-08-04 16:38:18.129,3.90	1.12		1103.4		1235.8
2025-08-04 16:38:18.179,3.95	1.14		1119.4		1271.6
2025-08-04 16:38:18.228,4.00	0.87		862.0		751.7
2025-08-04 16:38:18.278,4.05	0.63		627.1		396.3
2025-08-04 16:38:18.330,4.10	0.42		428.1		179.8
2025-08-04 16:38:18.379,4.15	0.20		215.6		43.1
2025-08-04 16:38:18.428,4.20	0.07		96.2		6.5
2025-08-04 16:38:18.478,4.25	0.00		21.2		0.0
