Timestamp,Data
2025-08-04 16:28:29.074,INA219 sensor found!
2025-08-04 16:28:29.077,Time(s)	Voltage(V)	Current(mA)	Power(mW)
2025-08-04 16:28:29.080,1.00	0.27		118.2		32.2
2025-08-04 16:28:29.126,1.05	0.10		52.6		5.5
2025-08-04 16:28:29.176,1.10	0.03		22.1		0.6
2025-08-04 16:28:29.225,1.15	0.00		10.1		0.0
2025-08-04 16:28:29.277,1.20	0.00		4.4		0.0
2025-08-04 16:28:29.327,1.25	0.00		1.5		0.0
2025-08-04 16:28:29.377,1.30	0.00		0.7		0.0
2025-08-04 16:28:29.426,1.35	0.00		0.1		0.0
2025-08-04 16:28:29.478,1.40	0.00		0.1		0.0
2025-08-04 16:28:29.527,1.45	0.00		-0.4		0.0
2025-08-04 16:28:29.577,1.50	0.00		-0.6		0.0
2025-08-04 16:28:29.627,1.55	0.00		-0.5		0.0
2025-08-04 16:28:29.678,1.60	0.00		-0.5		0.0
2025-08-04 16:28:29.728,1.65	0.05		33.3		1.6
2025-08-04 16:28:29.778,1.70	0.35		153.7		54.1
2025-08-04 16:28:29.827,1.75	0.43		184.7		79.8
2025-08-04 16:28:29.877,1.80	0.62		259.7		162.1
2025-08-04 16:28:29.928,1.85	0.56		235.7		132.9
2025-08-04 16:28:29.978,1.90	0.62		259.1		161.7
2025-08-04 16:28:30.028,1.95	0.72		298.2		214.7
2025-08-04 16:28:30.077,2.00	0.70		289.2		203.6
2025-08-04 16:28:30.127,2.05	0.42		174.8		74.1
2025-08-04 16:28:30.178,2.10	0.16		73.6		11.8
2025-08-04 16:28:30.228,2.15	0.05		31.2		1.6
2025-08-04 16:28:30.277,2.20	0.01		13.4		0.1
2025-08-04 16:28:30.326,2.25	0.00		6.0		0.0
2025-08-04 16:28:30.379,2.30	0.00		2.5		0.0
2025-08-04 16:28:30.428,2.35	0.00		1.0		0.0
2025-08-04 16:28:30.477,2.40	0.00		0.2		0.0
2025-08-04 16:28:30.527,2.45	0.00		-0.1		0.0
2025-08-04 16:28:30.576,2.50	0.00		-0.6		0.0
2025-08-04 16:28:30.629,2.55	0.00		-0.3		0.0
2025-08-04 16:28:30.678,2.60	0.38		176.3		67.0
2025-08-04 16:28:30.728,2.65	0.76		309.9		234.3
2025-08-04 16:28:30.778,2.70	0.60		244.0		145.4
2025-08-04 16:28:30.830,2.75	0.55		228.5		125.2
2025-08-04 16:28:30.879,2.80	0.57		235.8		133.9
2025-08-04 16:28:30.929,2.85	0.50		212.3		107.0
2025-08-04 16:28:30.978,2.90	0.31		130.8		40.3
2025-08-04 16:28:31.027,2.95	0.11		55.1		6.2
2025-08-04 16:28:31.079,3.00	0.03		23.3		0.7
2025-08-04 16:28:31.129,3.05	0.00		10.1		0.0
2025-08-04 16:28:31.179,3.10	0.00		4.2		0.0
2025-08-04 16:28:31.228,3.15	0.00		1.5		0.0
2025-08-04 16:28:31.277,3.20	0.00		0.5		0.0
2025-08-04 16:28:31.329,3.25	0.00		0.1		0.0
2025-08-04 16:28:31.379,3.30	0.00		-0.3		0.0
2025-08-04 16:28:31.429,3.35	0.16		79.5		12.7
2025-08-04 16:28:31.478,3.40	2.07		835.3		1727.4
2025-08-04 16:28:31.530,3.45	2.31		924.0		2132.6
2025-08-04 16:28:31.579,3.50	2.34		934.4		2182.8
2025-08-04 16:28:31.629,3.55	1.92		763.4		1465.7
2025-08-04 16:28:31.678,3.60	1.33		533.8		708.9
2025-08-04 16:28:31.727,3.65	0.87		349.4		303.3
2025-08-04 16:28:31.780,3.70	0.48		201.1		96.5
2025-08-04 16:28:31.829,3.75	0.20		88.5		17.7
2025-08-04 16:28:31.878,3.80	0.07		39.5		2.8
2025-08-04 16:28:31.928,3.85	0.02		17.5		0.3
2025-08-04 16:28:31.977,3.90	0.00		7.9		0.0
2025-08-04 16:28:32.030,3.95	0.00		3.5		0.0
2025-08-04 16:28:32.079,4.00	0.00		1.6		0.0
2025-08-04 16:28:32.129,4.05	0.00		0.9		0.0
2025-08-04 16:28:32.178,4.10	0.00		0.5		0.0
2025-08-04 16:28:32.230,4.15	0.00		0.1		0.0
2025-08-04 16:28:32.281,4.20	0.00		0.1		0.0
2025-08-04 16:28:32.330,4.25	0.00		-0.3		0.0
2025-08-04 16:28:32.382,4.30	0.87		388.8		337.5
2025-08-04 16:28:32.431,4.35	1.82		731.0		1327.5
2025-08-04 16:28:32.480,4.40	1.81		725.1		1311.0
2025-08-04 16:28:32.531,4.45	1.60		644.8		1031.7
