Timestamp,Data
2025-08-04 14:37:00.323,INA219 sensor found!
2025-08-04 14:37:00.327,Time(s)	Voltage(V)	Current(mA)	Power(mW)
2025-08-04 14:37:00.329,1.00	0.88		450.8		398.5
2025-08-04 14:37:00.376,1.05	0.80		409.2		329.0
2025-08-04 14:37:00.426,1.10	0.70		361.4		253.0
2025-08-04 14:37:00.476,1.15	0.62		318.3		197.3
2025-08-04 14:37:00.524,1.20	0.43		224.7		96.2
2025-08-04 14:37:00.577,1.25	0.21		117.9		24.5
2025-08-04 14:37:00.626,1.30	0.06		40.8		2.3
2025-08-04 14:37:00.677,1.35	0.00		14.7		0.0
2025-08-04 14:37:00.725,1.40	0.00		5.5		0.0
2025-08-04 14:37:00.775,1.45	0.00		2.2		0.0
2025-08-04 14:37:00.823,1.50	0.00		0.6		0.0
2025-08-04 14:37:00.876,1.55	0.00		0.0		0.0
2025-08-04 14:37:00.926,1.60	0.00		-0.1		0.0
2025-08-04 14:37:00.975,1.65	0.00		-0.2		0.0
2025-08-04 14:37:01.027,1.70	0.00		-0.6		0.0
2025-08-04 14:37:01.076,1.75	0.00		-0.3		0.0
2025-08-04 14:37:01.126,1.80	0.00		16.5		0.0
2025-08-04 14:37:01.176,1.85	1.33		682.9		909.6
2025-08-04 14:37:01.226,1.90	1.28		646.4		827.4
2025-08-04 14:37:01.277,1.95	1.24		624.7		774.6
2025-08-04 14:37:01.327,2.00	1.03		523.6		540.4
2025-08-04 14:37:01.376,2.05	0.79		406.4		321.9
2025-08-04 14:37:01.426,2.10	0.57		294.6		167.3
2025-08-04 14:37:01.475,2.15	0.38		199.0		75.6
2025-08-04 14:37:01.527,2.20	0.16		94.3		15.5
2025-08-04 14:37:01.577,2.25	0.04		32.8		1.2
2025-08-04 14:37:01.626,2.30	0.00		12.0		0.0
2025-08-04 14:37:01.676,2.35	0.00		4.6		0.0
2025-08-04 14:37:01.725,2.40	0.00		1.4		0.0
2025-08-04 14:37:01.777,2.45	0.00		0.5		0.0
2025-08-04 14:37:01.826,2.50	0.00		0.5		0.0
2025-08-04 14:37:01.876,2.55	0.00		0.0		0.0
2025-08-04 14:37:01.926,2.60	0.00		-0.3		0.0
2025-08-04 14:37:01.978,2.65	0.00		-0.4		0.0
2025-08-04 14:37:02.027,2.70	0.00		-0.2		0.0
2025-08-04 14:37:02.077,2.75	0.01		22.6		0.3
2025-08-04 14:37:02.127,2.80	1.04		542.6		562.1
2025-08-04 14:37:02.178,2.85	1.23		620.7		762.2
2025-08-04 14:37:02.228,2.90	1.14		577.4		655.9
2025-08-04 14:37:02.277,2.95	1.08		552.8		599.2
2025-08-04 14:37:02.326,3.00	0.92		469.8		432.2
2025-08-04 14:37:02.376,3.05	0.70		356.5		248.1
2025-08-04 14:37:02.428,3.10	0.52		272.7		142.9
2025-08-04 14:37:02.477,3.15	0.33		174.2		57.8
2025-08-04 14:37:02.527,3.20	0.11		66.7		7.2
2025-08-04 14:37:02.576,3.25	0.02		23.6		0.4
2025-08-04 14:37:02.626,3.30	0.00		8.8		0.0
2025-08-04 14:37:02.678,3.35	0.00		3.5		0.0
2025-08-04 14:37:02.727,3.40	0.00		1.3		0.0
2025-08-04 14:37:02.777,3.45	0.00		0.6		0.0
2025-08-04 14:37:02.827,3.50	0.00		0.3		0.0
2025-08-04 14:37:02.876,3.55	0.00		-0.1		0.0
2025-08-04 14:37:02.928,3.60	0.00		-0.2		0.0
2025-08-04 14:37:02.977,3.65	0.00		-0.6		0.0
2025-08-04 14:37:03.027,3.70	0.20		127.2		25.9
2025-08-04 14:37:03.077,3.75	1.21		613.9		741.6
2025-08-04 14:37:03.126,3.80	1.22		623.4		763.0
2025-08-04 14:37:03.178,3.85	1.20		607.2		728.6
2025-08-04 14:37:03.227,3.90	1.07		535.7		572.1
2025-08-04 14:37:03.277,3.95	0.89		452.3		401.6
2025-08-04 14:37:03.326,4.00	0.75		389.0		292.5
2025-08-04 14:37:03.378,4.05	0.63		326.6		205.1
2025-08-04 14:37:03.428,4.10	0.34		181.8		61.8
2025-08-04 14:37:03.477,4.15	0.12		70.0		8.1
2025-08-04 14:37:03.527,4.20	0.02		25.1		0.5
2025-08-04 14:37:03.579,4.25	0.00		9.4		0.0
2025-08-04 14:37:03.629,4.30	0.00		3.7		0.0
2025-08-04 14:37:03.679,4.35	0.00		1.6		0.0
2025-08-04 14:37:03.728,4.40	0.00		0.7		0.0
2025-08-04 14:37:03.777,4.45	0.00		0.3		0.0
2025-08-04 14:37:03.829,4.50	0.00		0.1		0.0
2025-08-04 14:37:03.880,4.55	0.00		-0.3		0.0
2025-08-04 14:37:03.928,4.60	0.00		-0.4		0.0
2025-08-04 14:37:03.978,4.65	0.00		-0.3		0.0
2025-08-04 14:37:04.030,4.70	1.03		548.8		564.2
2025-08-04 14:37:04.079,4.75	1.58		794.8		1255.8
2025-08-04 14:37:04.129,4.80	1.58		796.5		1258.5
2025-08-04 14:37:04.179,4.85	1.44		723.3		1038.7
2025-08-04 14:37:04.230,4.90	1.15		585.8		674.8
2025-08-04 14:37:04.280,4.95	0.94		481.6		452.7
2025-08-04 14:37:04.329,5.00	0.74		385.4		285.2
2025-08-04 14:37:04.379,5.05	0.59		305.1		179.4
2025-08-04 14:37:04.428,5.10	0.41		213.6		87.1
2025-08-04 14:37:04.480,5.15	0.20		112.0		22.4
2025-08-04 14:37:04.530,5.20	0.05		38.7		1.9
2025-08-04 14:37:04.579,5.25	0.00		14.4		0.0
2025-08-04 14:37:04.628,5.30	0.00		5.6		0.0
2025-08-04 14:37:04.678,5.35	0.00		2.1		0.0
2025-08-04 14:37:04.727,5.40	0.00		0.8		0.0
2025-08-04 14:37:04.779,5.45	0.00		0.2		0.0
2025-08-04 14:37:04.829,5.50	0.00		-0.1		0.0
2025-08-04 14:37:04.878,5.55	0.00		-0.1		0.0
2025-08-04 14:37:04.928,5.60	0.00		-0.4		0.0
2025-08-04 14:37:04.980,5.65	0.00		-0.6		0.0
2025-08-04 14:37:05.029,5.70	0.64		335.9		213.6
2025-08-04 14:37:05.079,5.75	1.40		699.7		976.8
2025-08-04 14:37:05.129,5.80	1.30		650.4		842.9
2025-08-04 14:37:05.178,5.85	1.15		581.8		667.9
2025-08-04 14:37:05.230,5.90	1.02		509.2		517.3
2025-08-04 14:37:05.279,5.95	0.86		438.4		377.0
2025-08-04 14:37:05.329,6.00	0.76		393.5		300.6
2025-08-04 14:37:05.379,6.05	0.78		401.1		312.9
2025-08-04 14:37:05.428,6.10	0.78		394.5		306.1
2025-08-04 14:37:05.480,6.15	0.62		317.3		195.5
2025-08-04 14:37:05.529,6.20	0.31		160.9		49.6
2025-08-04 14:37:05.579,6.25	0.08		57.1		4.8
