Voltage_V,Power_mW
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.87,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.87,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.87,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.87,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.87,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.87,0.0
0.88,0.0
0.87,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.87,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.87,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.87,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.87,0.0
0.87,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.87,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.87,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.87,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.87,0.0
0.88,0.0
0.87,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.87,0.0
0.88,0.0
0.88,0.0
0.87,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.87,0.0
0.88,0.0
0.88,0.0
