Time(s),Cap_V(V),Boost_V(V),Current(mA),Power(mW),RPM,Avg_RPM
1,13.68,12.37,-1,-12.4,0,0
1.5,12.37,12.09,-0.9,-10.9,0,0
2,11.93,11.82,-0.7,-8.3,0,0
2.5,11.62,11.48,-1,-11.5,0,0
3,11.37,11.23,-1.1,-12.4,0,0
3.5,11.21,11.07,-0.5,-5.5,0,0
4,11.07,10.93,-0.6,-6.6,0,0
4.5,10.96,10.79,-0.6,-6.5,0,0
5,10.85,10.65,-0.6,-6.4,0,0
5.5,10.71,10.54,-0.6,-6.3,0,0
6,10.68,10.51,-0.7,-7.4,0,0
6.5,10.62,10.43,-0.6,-6.3,0,0
9.5,10.35,10.15,107.5,1091.4,25,5
10,10.32,10.12,110.2,1115.7,25,5
10.5,10.29,10.1,115,1161.1,25,5
11,10.26,10.07,108.7,1094.5,48,15
11.5,10.26,10.07,113.2,1139.8,48,15
12,10.24,10.04,111.4,1118.6,48,24
12.5,10.24,10.04,111.2,1116.6,48,24
13,10.21,10.01,106.8,1069.5,48,24
13.5,10.21,10.01,104.8,1049.4,48,34
14,10.21,10.01,108,1081.5,48,34
14.5,10.21,10.01,120.5,1206.6,48,43
15,10.21,9.99,124,1238.2,48,43
15.5,10.21,10.01,129.3,1294.8,48,43
16,10.18,9.99,137.5,1373.1,54,49
16.5,10.18,9.99,139,1388,54,49
17,10.18,9.99,129,1288.2,54,49
17.5,10.18,9.99,145.5,1452.9,54,49
18,10.18,9.99,158.2,1579.8,54,5
18.5,10.18,9.99,153,1527.8,54,5
19,10.18,9.99,162.6,1623.7,54,5
19.5,10.18,9.99,168,1677.6,54,5
20,10.18,9.99,156.9,1566.8,54,11
20.5,10.18,9.99,175.5,1752.5,54,11
21,10.18,9.99,175.6,1753.5,64,24
21.5,10.18,9.99,170.8,1705.6,64,24
22,10.18,9.99,163.9,1636.7,65,37
22.5,10.18,9.99,170.7,1704.6,65,37
23,10.18,9.99,181.6,1813.4,65,50
23.5,10.18,9.99,173.8,1735.5,65,58
24,10.18,9.99,194.4,1941.3,65,58
24.5,10.18,9.99,198,1977.2,70,66
25,10.18,9.99,207.4,2071.1,70,66
25.5,10.18,9.99,194.1,1938.3,72,67
26,10.18,9.99,198.5,1982.2,72,67
26.5,10.18,9.99,197.9,1976.2,72,69
27,10.18,9.99,189.8,1895.3,71,70
27.5,10.18,9.99,206.5,2062.1,71,70
28,10.18,9.99,197.4,1971.2,71,71
28.5,10.18,9.99,191.4,1911.3,71,71
29,10.18,9.99,204.1,2038.1,71,160
29.5,10.18,9.99,197.4,1971.2,71,160
30,10.18,9.99,195.2,1949.2,71,160
30.5,10.18,9.99,202.3,2020.1,71,162
31,10.18,9.99,197.2,1969.2,71,162
31.5,10.18,9.99,209,2087,71,162
32,10.18,9.99,219.6,2192.9,76,163
32.5,10.18,9.99,208.8,2085,76,163
33,10.18,9.99,225.2,2248.8,76,76
33.5,10.18,9.99,219.2,2188.9,76,76
34,10.18,9.99,222.6,2222.9,76,75
34.5,10.18,9.99,218,2176.9,76,75
35,10.21,9.99,248.6,2482.5,76,67
35.5,10.21,10.01,232.1,2324.2,76,67
36,10.18,9.99,233,2326.7,83,69
36.5,10.21,10.01,233.1,2334.2,83,69
37,10.21,9.99,244.1,2437.6,83,69
37.5,10.18,9.99,241.4,2410.6,84,63
38,10.21,9.99,244.7,2443.5,82,64
38.5,10.21,10.01,240.5,2408.3,82,64
39,10.21,10.01,236.9,2372.2,84,67
39.5,10.18,9.99,249.9,2495.5,84,73
40,10.21,9.99,261.3,2609.3,88,76
40.5,10.21,9.99,263.5,2631.3,100,76
41,10.21,9.99,264.6,2642.3,88,86
41.5,10.21,9.99,262.4,2620.3,87,87
42,10.21,10.01,259.8,2601.5,88,88
42.5,10.21,10.01,264.1,2644.6,88,88
43,10.21,10.01,265.7,2660.6,87,90
43.5,10.21,10.01,254.7,2550.5,88,88
44,10.21,10.01,267.4,2677.6,88,88
44.5,10.21,10.01,273.7,2740.7,88,88
45,10.21,10.01,272.8,2731.7,91,88
45.5,10.21,10.01,279.1,2794.8,91,88
46,10.21,10.01,284.4,2847.9,91,88
46.5,10.21,10.01,277.5,2778.8,108,80
47,10.21,10.01,286.3,2866.9,108,80
47.5,10.21,10.01,284.3,2846.9,108,80
48,10.21,10.01,283.3,2836.9,108,69
48.5,10.24,10.01,299,2994.1,108,69
49,10.21,10.01,313.9,3143.3,108,71
49.5,10.21,10.01,309.1,3095.2,108,71
50,10.24,10.01,306.9,3073.2,108,63
50.5,10.24,10.04,342.6,3440.2,108,63
51,10.21,10.01,343.1,3435.7,108,56
51.5,10.24,10.01,351.4,3518.8,108,68
52,10.24,10.04,351.2,3526.5,108,68
52.5,10.21,10.01,342.8,3432.7,108,84
53,10.24,10.04,343.4,3448.2,109,86
53.5,10.21,10.01,345.9,3463.7,109,98
54,10.26,10.04,342.7,3441.2,109,109
54.5,10.26,10.07,350.1,3525.2,109,109
55,10.32,10.12,351.8,3561.8,111,109
55.5,10.32,10.12,399.7,4046.8,112,110
56,10.35,10.15,394.6,4006.1,112,110
56.5,10.35,10.15,397,4030.5,112,100
57,10.37,10.18,405.8,4131.1,112,100
